pitch,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,peak_pressures,peak_times,tone_times,subject,experimenter,register,handedness,experiment,version
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[42970, 43500, 44035, 44548, 45093, 45605, 46118, 46630, 47161, 47709, 48211, 48799, 49272, 49801, 50311, 50844, 51355, 51872, 52421, 52894, 53403, 53989, 54486, 55047, 55562, 56097, 56647, 57145, 57660, 58214]","[43199, 43704, 44233, 44776, 45296, 45799, 46325, 46827, 47326, 47866, 48358, 48918, 49471, 49963, 50465, 50999, 51530, 52029, 52618, 53147, 53585, 54193, 54711, 55229, 55789, 56275, 56823, 57356, 57888, 58351]","[160, 104, 100, 116, 81, 90, 98, 73, 62, 106, 127, 120, 77, 97, 101, 75, 102, 117, 93, 119, 25, 117, 67, 95, 98, 88, 90, 92, 57, 93]","[43085, 43608, 44124, 44651, 45199, 45686, 46228, 46635, 47165, 47712, 48215, 48803, 49276, 49875, 50315, 50848, 51359, 51875, 52425, 52898, 53482, 53993, 54614, 55150, 55566, 56177, 56651, 57149, 57664, 58218]",,75,SB,U,R,ITMSR,1.1
5,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[116849, 117394, 117952, 118462, 118960, 119447, 119944, 120440, 120934, 121397, 121927, 122377, 122872, 123352, 123865, 124348, 124831, 125263, 125797, 126284, 126745, 127265, 127766]","[117030, 117609, 118119, 118623, 119083, 119577, 120071, 120566, 121013, 121517, 122035, 122511, 122986, 123475, 123969, 124453, 124931, 125388, 125888, 126360, 126855, 127375, 127854]","[79, 138, 98, 94, 80, 75, 81, 77, 27, 51, 32, 16, 6, 14, 8, 5, 236, 205, 209, 178, 150, 151, 145]","[116944, 117484, 118035, 118553, 118965, 119518, 119948, 120509, 120939, 121402, 121931, 122451, 122877, 123420, 123869, 124395, 124876, 125332, 125841, 126289, 126818, 127324, 127808]","[116511, 117010, 117510, 118010, 118510, 119010, 119511, 120010, 120460, 120954, 121417, 121947, 122397, 122892, 123372, 123885, 124368, 124851, 125283, 125817, 126304, 126765, 127285, 127787]",75,SB,U,R,ITMSR,1.1
0,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[133573, 134130, 134664, 135204, 135727, 136217, 136708, 137212, 137714, 138209, 138708, 139173, 139692, 140194, 140692, 141220, 141718, 142217, 142745, 143222, 143722, 144236, 144737]","[133704, 134275, 134792, 135325, 135825, 136320, 136810, 137321, 137806, 138319, 138813, 139269, 139803, 140303, 140823, 141339, 141833, 142336, 142846, 143342, 143841, 144338, 144829]","[202, 218, 240, 216, 198, 11, 239, 213, 105, 218, 204, 168, 173, 198, 128, 225, 204, 216, 203, 212, 215, 186, 139]","[133655, 134226, 134738, 135278, 135733, 136274, 136762, 137277, 137751, 138281, 138758, 139233, 139760, 140257, 140778, 141293, 141782, 142289, 142804, 143294, 143791, 144284, 144745]","[133223, 133723, 134223, 134723, 135223, 135724, 136223, 136723, 137232, 137734, 138229, 138728, 139193, 139712, 140214, 140712, 141240, 141739, 142237, 142765, 143242, 143742, 144257, 144757]",75,SB,U,R,ITMSR,1.1
2,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[150365, 150961, 151523, 152071, 152549, 153044, 153530, 154059, 154586, 155108, 155575, 156130, 156622, 157124, 157603, 158105, 158660, 159163, 159627, 160119, 160690, 161166, 161671]","[150498, 151089, 151636, 152193, 152684, 153163, 153656, 154159, 154695, 155196, 155689, 156233, 156729, 157222, 157717, 158211, 158773, 159295, 159764, 160249, 160816, 161306, 161794]","[154, 10, 216, 215, 245, 195, 177, 1, 136, 147, 156, 122, 133, 132, 139, 86, 75, 80, 119, 116, 119, 118, 99]","[150437, 150966, 151588, 152144, 152631, 153118, 153604, 154064, 154593, 155154, 155646, 156174, 156630, 157131, 157656, 158157, 158720, 159212, 159698, 160184, 160754, 161241, 161735]","[150099, 150599, 151099, 151599, 152099, 152599, 153099, 153600, 154079, 154606, 155128, 155595, 156150, 156642, 157144, 157623, 158125, 158680, 159183, 159647, 160139, 160710, 161186, 161691]",75,SB,U,R,ITMSR,1.1
4,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[167585, 168005, 168505, 168991, 169501, 169985, 170542, 171011, 171491, 172041, 172524, 173016, 173488, 174031, 174476, 174971, 175457, 175962, 176460, 176954, 177419, 177914, 178386]","[167657, 168127, 168624, 169113, 169613, 170089, 170632, 171122, 171613, 172147, 172630, 173134, 173614, 174140, 174606, 175089, 175581, 176099, 176588, 177078, 177532, 178021, 178511]","[116, 247, 244, 232, 196, 126, 192, 166, 202, 103, 150, 151, 144, 135, 131, 162, 150, 174, 186, 170, 74, 79, 88]","[167626, 168010, 168510, 169063, 169567, 169991, 170547, 171078, 171496, 172083, 172590, 173090, 173549, 174091, 174545, 174977, 175463, 176024, 176529, 177024, 177426, 177922, 178394]","[167042, 167542, 168042, 168542, 169042, 169542, 170042, 170542, 171031, 171511, 172061, 172545, 173036, 173508, 174051, 174496, 174991, 175477, 175982, 176480, 176974, 177439, 177934, 178406]",75,SB,U,R,ITMSR,1.1
1,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[184590, 185049, 185611, 186070, 186589, 187103, 187611, 188118, 188644, 189148, 189618, 190144, 190688, 191135, 191673, 192159, 192675, 193133, 193647, 194134, 194579, 195113, 195649]","[184693, 185188, 185714, 186189, 186712, 187216, 187741, 188227, 188762, 189266, 189744, 190255, 190773, 191283, 191792, 192279, 192782, 193284, 193768, 194227, 194696, 195216, 195725]","[84, 212, 208, 221, 157, 154, 220, 178, 167, 161, 146, 169, 140, 185, 181, 162, 195, 175, 101, 184, 168, 147, 235]","[184597, 185055, 185617, 186076, 186665, 187110, 187617, 188125, 188650, 189156, 189624, 190151, 190738, 191219, 191679, 192237, 192680, 193140, 193727, 194141, 194586, 195120, 195655]","[184164, 184664, 185164, 185664, 186164, 186664, 187164, 187664, 188138, 188664, 189168, 189638, 190164, 190708, 191155, 191693, 192179, 192695, 193154, 193667, 194154, 194599, 195133, 195670]",75,SB,U,R,ITMSR,1.1
3,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[201450, 201932, 202455, 202946, 203439, 203962, 204445, 204955, 205476, 205972, 206452, 207003, 207476, 207994, 208514, 209029, 209543, 210061, 210534, 211020, 211533, 212007, 212546]","[201549, 202046, 202577, 203076, 203580, 204097, 204585, 205093, 205575, 206065, 206597, 207106, 207625, 208125, 208644, 209126, 209650, 210171, 210684, 211147, 211665, 212174, 212679]","[170, 203, 217, 243, 209, 252, 227, 198, 165, 191, 221, 164, 148, 163, 174, 140, 154, 157, 150, 161, 212, 220, 201]","[201455, 201937, 202460, 202951, 203445, 203968, 204451, 204961, 205483, 205977, 206554, 207010, 207570, 208002, 208521, 209035, 209549, 210067, 210541, 211027, 211539, 212104, 212551]","[201026, 201526, 202027, 202526, 203026, 203526, 204026, 204526, 204975, 205496, 205992, 206472, 207023, 207496, 208014, 208534, 209049, 209563, 210081, 210554, 211040, 211553, 212027, 212567]",75,SB,U,R,ITMSR,1.1
4,400,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[249989, 250382, 250730, 251090, 251476, 251918, 252297, 252694, 253096, 253461, 253841, 254248, 254644, 255004, 255360, 255759, 256145, 256475, 256845, 257227, 257598, 257993, 258369]","[250088, 250471, 250804, 251180, 251566, 252002, 252405, 252794, 253179, 253553, 253947, 254345, 254711, 255097, 255442, 255855, 256231, 256579, 256942, 257320, 257698, 258095, 258466]","[241, 218, 14, 1, 250, 226, 14, 1, 245, 7, 244, 222, 34, 33, 249, 5, 17, 8, 18, 1, 11, 253, 32]","[250038, 250388, 250735, 251096, 251483, 251924, 252348, 252748, 253102, 253466, 253898, 254285, 254649, 255051, 255366, 255765, 256150, 256527, 256851, 257233, 257603, 258044, 258374]","[249560, 249960, 250360, 250760, 251160, 251560, 251960, 252360, 252715, 253116, 253481, 253861, 254268, 254664, 255024, 255380, 255779, 256165, 256495, 256865, 257247, 257618, 258013, 258390]",75,SB,U,R,ITMSR,1.1
3,400,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[264361, 264682, 265075, 265479, 265865, 266270, 266683, 267079, 267480, 267860, 268242, 268640, 269026, 269417, 269836, 270233, 270624, 271026, 271401, 271792, 272206, 272586, 272905]","[264439, 264776, 265163, 265568, 265953, 266365, 266771, 267184, 267582, 267968, 268338, 268746, 269109, 269498, 269915, 270313, 270720, 271120, 271493, 271881, 272305, 272680, 273002]","[89, 252, 61, 45, 49, 27, 22, 36, 14, 31, 231, 0, 7, 231, 221, 180, 207, 201, 204, 236, 242, 226, 184]","[264398, 264733, 265080, 265484, 265870, 266275, 266689, 267084, 267485, 267865, 268249, 268645, 269031, 269422, 269843, 270239, 270629, 271074, 271408, 271797, 272211, 272635, 272911]","[263916, 264316, 264716, 265116, 265517, 265917, 266317, 266717, 267099, 267500, 267880, 268262, 268660, 269046, 269437, 269856, 270253, 270644, 271046, 271421, 271812, 272226, 272606, 272925]",75,SB,U,R,ITMSR,1.1
4,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[278970, 279788, 280383, 281004, 281621, 282230, 282800, 283425, 284006, 284532, 285186, 285794, 286432, 286962, 287590, 288157, 288764, 289305, 289867, 290549, 291111, 291663, 292298]","[279069, 279938, 280502, 281132, 281745, 282376, 282920, 283557, 284121, 284703, 285300, 285920, 286551, 287101, 287720, 288322, 288917, 289438, 290056, 290706, 291271, 291866, 292424]","[227, 233, 56, 50, 47, 13, 7, 31, 245, 6, 3, 38, 210, 136, 4, 7, 9, 16, 1, 198, 253, 37, 24]","[279029, 279793, 280439, 281068, 281626, 282235, 282805, 283430, 284011, 284537, 285191, 285798, 286438, 287056, 287595, 288162, 288770, 289309, 289872, 290590, 291117, 291667, 292303]","[278673, 279273, 279873, 280473, 281073, 281673, 282273, 282873, 283445, 284026, 284552, 285206, 285814, 286452, 286982, 287610, 288177, 288784, 289325, 289887, 290569, 291131, 291683, 292318]",75,SB,U,R,ITMSR,1.1
