pitch,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,peak_pressures,peak_times,tone_times,subject,experimenter,register,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[39906, 40380, 40912, 41460, 41979, 42513, 43077, 43601, 44133, 44687, 45232, 45801, 46304, 46887, 47380, 47901, 48428, 48935, 49474, 49997, 50485, 51053, 51576, 52059, 52567, 53106, 53609, 54123, 54621, 55144]","[39979, 40462, 40984, 41522, 42044, 42582, 43144, 43682, 44212, 44752, 45302, 45869, 46377, 46943, 47460, 47982, 48502, 49033, 49554, 50075, 50556, 51104, 51640, 52134, 52661, 53168, 53668, 54191, 54702, 55205]","[7, 192, 171, 171, 191, 177, 185, 129, 164, 156, 163, 138, 206, 144, 160, 174, 148, 153, 148, 123, 128, 71, 77, 117, 140, 172, 130, 112, 203, 169]","[39909, 40384, 40915, 41464, 41984, 42517, 43081, 43606, 44136, 44691, 45236, 45806, 46308, 46892, 47384, 47905, 48432, 48941, 49478, 50002, 50488, 51058, 51580, 52063, 52570, 53109, 53613, 54127, 54625, 55148]",,89,EM,U,R,ITMSR,1.1,
2,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[127299, 127639, 128118, 128605, 129098, 129593, 130051, 130555, 131001, 131454, 131941, 132389, 132873, 133312, 133743, 134188, 134666, 135174, 135636, 136082, 136546, 136988, 137427]","[127370, 127732, 128221, 128726, 129207, 129682, 130148, 130659, 131101, 131530, 132008, 132461, 132948, 133392, 133815, 134275, 134749, 135247, 135711, 136162, 136631, 137066, 137521]","[223, 44, 246, 216, 4, 241, 6, 255, 19, 254, 177, 253, 185, 188, 216, 204, 206, 188, 226, 182, 193, 225, 200]","[127304, 127641, 128122, 128610, 129102, 129596, 130054, 130560, 131005, 131458, 131946, 132395, 132877, 133316, 133747, 134193, 134670, 135178, 135641, 136086, 136551, 136993, 137431]","[126639, 127139, 127639, 128139, 128640, 129139, 129639, 130139, 130575, 131021, 131474, 131961, 132409, 132893, 133332, 133763, 134208, 134686, 135194, 135656, 136102, 136566, 137008, 137447]",89,EM,U,R,ITMSR,1.1,
4,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[145149, 145661, 146150, 146685, 147187, 147651, 148142, 148639, 149129, 149602, 150099, 150593, 151097, 151578, 152056, 152555, 153018, 153523, 154019, 154472]","[145233, 145740, 146234, 146752, 147259, 147735, 148231, 148721, 149204, 149691, 150184, 150669, 151172, 151651, 152147, 152644, 153118, 153592, 154103, 154565]","[234, 161, 224, 185, 223, 244, 181, 202, 171, 219, 182, 139, 139, 133, 152, 205, 234, 223, 195, 214]","[145153, 145666, 146153, 146689, 147190, 147654, 148146, 148642, 149132, 149605, 150104, 150597, 151101, 151582, 152061, 152559, 153021, 153526, 154022, 154475]","[143213, 143713, 144214, 144713, 145213, 145713, 146213, 146713, 147207, 147672, 148162, 148659, 149149, 149622, 150119, 150614, 151117, 151598, 152076, 152576, 153038, 153543, 154039, 154492]",89,EM,U,R,ITMSR,1.1,
3,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[161800, 162301, 162805, 163290, 163798, 164308, 164774, 165256, 165743, 166193, 166647, 167129, 167585, 168057, 168522, 168995, 169466, 169938, 170423, 170847]","[161894, 162399, 162896, 163397, 163894, 164405, 164861, 165331, 165816, 166274, 166720, 167218, 167664, 168137, 168596, 169064, 169558, 170030, 170494, 170928]","[94, 154, 146, 146, 182, 177, 145, 179, 166, 185, 208, 169, 155, 159, 92, 116, 184, 133, 58, 173]","[161805, 162306, 162809, 163295, 163802, 164355, 164780, 165260, 165748, 166197, 166652, 167133, 167589, 168062, 168526, 169000, 169470, 169943, 170428, 170851]","[159904, 160404, 160904, 161404, 161904, 162404, 162904, 163404, 163818, 164328, 164794, 165276, 165763, 166213, 166667, 167149, 167605, 168077, 168542, 169015, 169486, 169958, 170443, 170867]",89,EM,U,R,ITMSR,1.1,
1,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[178212, 178720, 179206, 179712, 180195, 180672, 181180, 181661, 182136, 182621, 183132, 183586, 184064, 184510, 184975, 185465, 185919, 186408, 186878, 187341]","[178312, 178817, 179299, 179798, 180291, 180771, 181274, 181743, 182210, 182692, 183206, 183667, 184136, 184604, 185067, 185538, 185987, 186428, 186937, 187398]","[211, 132, 90, 141, 132, 82, 188, 214, 161, 254, 78, 239, 24, 31, 30, 96, 154, 91, 97, 114]","[178215, 178725, 179211, 179716, 180199, 180676, 181185, 181665, 182139, 182624, 183134, 183589, 184067, 184513, 185031, 185469, 185922, 186412, 186883, 187345]","[176280, 176780, 177281, 177780, 178280, 178780, 179280, 179780, 180215, 180692, 181200, 181681, 182156, 182641, 183152, 183606, 184084, 184530, 184995, 185485, 185939, 186428, 186898, 187361]",89,EM,U,R,ITMSR,1.1,
0,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[194706, 195209, 195716, 196243, 196742, 197246, 197723, 198218, 198699, 199168, 199681, 200156, 200606, 201115, 201591, 202083, 202553, 203041, 203527, 204053]","[194796, 195324, 195811, 196331, 196833, 197335, 197801, 198318, 198777, 199251, 199759, 200227, 200687, 201190, 201664, 202170, 202614, 203117, 203606, 204073]","[184, 145, 215, 153, 118, 86, 244, 67, 160, 212, 226, 105, 37, 139, 157, 36, 45, 199, 226, 32]","[194710, 195213, 195719, 196247, 196746, 197251, 197727, 198221, 198703, 199172, 199686, 200161, 200610, 201117, 201594, 202088, 202558, 203044, 203529, 204056]","[192806, 193306, 193806, 194306, 194806, 195306, 195806, 196306, 196762, 197266, 197743, 198238, 198719, 199188, 199701, 200176, 200626, 201135, 201611, 202103, 202573, 203061, 203547, 204073]",89,EM,U,R,ITMSR,1.1,
5,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[211483, 211991, 212519, 213047, 213569, 214068, 214563, 215074, 215585, 216114, 216598, 217107, 217598, 218128, 218598, 219107, 219613, 220122, 220611, 221120]","[211579, 212110, 212624, 213145, 213654, 214162, 214653, 215145, 215662, 216208, 216669, 217198, 217683, 218205, 218669, 219165, 219675, 220142, 220695, 221217]","[143, 61, 162, 172, 110, 40, 3, 26, 230, 60, 46, 42, 35, 19, 43, 18, 245, 204, 226, 175]","[211487, 211996, 212524, 213050, 213574, 214072, 214568, 215077, 215589, 216117, 216602, 217111, 217602, 218130, 218600, 219110, 219616, 220125, 220613, 221123]","[209598, 210098, 210598, 211098, 211598, 212098, 212598, 213098, 213590, 214088, 214583, 215094, 215605, 216134, 216619, 217127, 217618, 218148, 218618, 219127, 219633, 220142, 220632, 221140]",89,EM,U,R,ITMSR,1.1,
2,600,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[312561, 313141, 313763, 314384, 315016, 315603, 316195, 316796, 317472, 318062, 318674, 319268, 319888, 320527, 321163, 321765, 322401, 323034, 323623, 324203, 324796, 325464, 326097]","[312634, 313250, 313860, 314486, 315124, 315739, 316312, 316922, 317578, 318164, 318757, 319363, 319986, 320648, 321260, 321873, 322497, 323132, 323731, 324320, 324916, 325569, 326206]","[1, 19, 29, 41, 55, 39, 31, 28, 22, 6, 15, 27, 12, 21, 8, 5, 246, 226, 235, 189, 209, 230, 241]","[312565, 313186, 313806, 314431, 315020, 315672, 316199, 316801, 317526, 318067, 318679, 319273, 319893, 320583, 321167, 321821, 322406, 323039, 323630, 324208, 324858, 325470, 326103]","[312038, 312638, 313238, 313838, 314438, 315038, 315638, 316238, 316816, 317492, 318082, 318694, 319288, 319908, 320547, 321183, 321785, 322421, 323054, 323643, 324224, 324816, 325484, 326117]",89,EM,U,R,ITMSR,1.1,
1,400,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[332953, 333346, 333767, 334173, 334574, 334966, 335345, 335726, 336103, 336480, 336886, 337255, 337654, 338030, 338410, 338793, 339155, 339544, 339917, 340289]","[333043, 333437, 333870, 334278, 334682, 335057, 335439, 335818, 336207, 336578, 336978, 337353, 337746, 338112, 338501, 338890, 339252, 339637, 340007, 340388]","[21, 251, 243, 4, 209, 211, 226, 231, 235, 252, 215, 4, 220, 0, 250, 5, 241, 225, 237, 244]","[332957, 333351, 333771, 334177, 334578, 334971, 335350, 335730, 336155, 336483, 336891, 337259, 337658, 338034, 338414, 338797, 339160, 339547, 339921, 340293]","[331425, 331825, 332225, 332625, 333025, 333425, 333826, 334226, 334594, 334986, 335365, 335746, 336123, 336500, 336906, 337275, 337674, 338050, 338430, 338813, 339175, 339564, 339937, 340310]",89,EM,U,R,ITMSR,1.1,
5,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[348154, 348762, 349361, 349967, 350538, 351174, 351752, 352293, 352841, 353462, 354021, 354577, 355158, 355734, 356307, 356881, 357439, 358019, 358584, 359134]","[348257, 348860, 349470, 350067, 350653, 351283, 351849, 352386, 352943, 353547, 354110, 354691, 355244, 355838, 356411, 356988, 357554, 358122, 358690, 359237]","[232, 10, 4, 254, 9, 232, 219, 250, 7, 1, 243, 16, 226, 250, 22, 250, 161, 229, 248, 232]","[348158, 348766, 349365, 349971, 350542, 351178, 351757, 352297, 352845, 353466, 354025, 354581, 355164, 355738, 356312, 356886, 357444, 358023, 358588, 359138]","[345796, 346395, 346995, 347595, 348195, 348795, 349395, 349996, 350558, 351194, 351772, 352313, 352861, 353482, 354041, 354597, 355178, 355755, 356327, 356901, 357459, 358039, 358604, 359154]",89,EM,U,R,ITMSR,1.1,
