pitch,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,peak_pressures,peak_times,tone_times,subject,experimenter,register,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[18716, 20684, 20879, 21078, 21330, 21566, 21818, 22070, 22292, 22525, 22778, 23029, 23268, 23511, 23748, 24014, 24247, 24513, 24788, 25053, 25273, 25509, 25747, 25970, 26186, 26450, 26681, 26905, 27143, 27356]","[20557, 20756, 20962, 21166, 21416, 21658, 21915, 22163, 22379, 22614, 22874, 23123, 23360, 23606, 23857, 24093, 24352, 24611, 24906, 25141, 25381, 25585, 25844, 26052, 26297, 26543, 26779, 26992, 27234, 27442]","[182, 27, 38, 237, 250, 219, 249, 232, 222, 197, 198, 255, 236, 189, 241, 25, 147, 249, 255, 187, 231, 159, 231, 219, 222, 168, 209, 95, 203, 121]","[20380, 20717, 20885, 21115, 21371, 21574, 21859, 22077, 22300, 22564, 22818, 23035, 23274, 23553, 23789, 24019, 24301, 24519, 24795, 25092, 25311, 25517, 25785, 25977, 26226, 26488, 26687, 26943, 27150, 27363]",,80,EM,U,R,ITMSR,1.1,
4,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[138884, 139411, 139956, 140474, 140990, 141486, 141966, 142425, 142920, 143427, 143936, 144468, 144990, 145496, 145999, 146485, 147002, 147503, 148014, 148507, 149006, 149486, 149997]","[138944, 139491, 140048, 140564, 141066, 141562, 142056, 142493, 143002, 143499, 144018, 144549, 145081, 145574, 146084, 146580, 147080, 147594, 148106, 148582, 149074, 149572, 150083]","[169, 227, 212, 115, 158, 161, 159, 78, 88, 40, 112, 150, 155, 174, 202, 173, 91, 202, 199, 125, 81, 162, 145]","[138902, 139444, 139993, 140506, 141025, 141518, 142001, 142455, 142952, 143456, 143966, 144498, 145019, 145525, 146029, 146514, 147026, 147536, 148046, 148537, 149029, 149515, 150027]","[138442, 138942, 139442, 139942, 140442, 140942, 141442, 141942, 142445, 142940, 143448, 143956, 144488, 145010, 145516, 146019, 146505, 147022, 147523, 148034, 148527, 149026, 149506, 150018]",80,EM,U,R,ITMSR,1.1,
2,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[155812, 156383, 156898, 157388, 157894, 158384, 158868, 159347, 159843, 160326, 160826, 161284, 161754, 162311, 162798, 163320, 163858, 164354, 164874, 165386, 165924, 166438, 166998]","[155894, 156468, 157017, 157479, 157992, 158491, 158965, 159433, 159920, 160411, 160896, 161352, 161832, 162392, 162870, 163380, 163914, 164418, 164943, 165466, 165998, 166514, 167068]","[161, 177, 207, 129, 122, 103, 133, 54, 97, 208, 152, 10, 246, 127, 246, 165, 166, 7, 246, 145, 243, 123, 57]","[155842, 156411, 156946, 157420, 157928, 158440, 158906, 159386, 159861, 160355, 160850, 161312, 161783, 162337, 162827, 163337, 163878, 164378, 164902, 165411, 165940, 166463, 167019]","[155420, 155920, 156420, 156920, 157420, 157920, 158420, 158920, 159367, 159863, 160346, 160846, 161304, 161774, 162331, 162818, 163340, 163878, 164374, 164894, 165406, 165944, 166458, 167018]",80,EM,U,R,ITMSR,1.1,
1,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[172669, 173255, 173782, 174327, 174845, 175334, 175839, 176333, 176826, 177349, 177854, 178408, 178917, 179394, 179932, 180438, 180981, 181467, 182002, 182501, 183002, 183535, 184031]","[172762, 173344, 173867, 174403, 174918, 175409, 175918, 176415, 176899, 177433, 177923, 178476, 178978, 179476, 180005, 180489, 181041, 181538, 182064, 182564, 183100, 183600, 184084]","[195, 211, 241, 189, 164, 179, 163, 184, 174, 191, 210, 125, 148, 241, 174, 137, 238, 179, 192, 233, 27, 246, 151]","[172715, 173279, 173810, 174350, 174873, 175354, 175872, 176361, 176849, 177379, 177879, 178434, 178938, 179424, 179957, 180453, 181007, 181490, 182022, 182525, 183031, 183559, 184048]","[172382, 172882, 173382, 173882, 174382, 174882, 175382, 175882, 176353, 176846, 177369, 177874, 178428, 178937, 179415, 179952, 180458, 181001, 181487, 182022, 182521, 183022, 183555, 184051]",80,EM,U,R,ITMSR,1.1,
5,500,practice,0,3,3,3,practice,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[189784, 190292, 190843, 191297, 191778, 192292, 192823, 193278, 193779, 194281, 194823, 195283, 195764, 196283, 196833, 197351, 197839, 198364, 198851, 199416, 199903, 200415, 200937, 201438]","[189821, 190364, 190914, 191360, 191839, 192348, 192878, 193343, 193847, 194351, 194879, 195343, 195823, 196348, 196885, 197402, 197900, 198428, 198923, 199480, 199983, 200471, 201005, 201507]","[240, 122, 153, 92, 73, 124, 113, 201, 209, 193, 106, 94, 120, 164, 92, 60, 124, 85, 125, 116, 124, 108, 71, 152]","[189784, 190316, 190864, 191318, 191798, 192307, 192843, 193296, 193803, 194298, 194844, 195303, 195784, 196307, 196853, 197367, 197864, 198384, 198875, 199438, 199931, 200430, 200960, 201461]","[189796, 190296, 190796, 191296, 191796, 192296, 192796, 193296, 193799, 194301, 194843, 195303, 195784, 196303, 196853, 197371, 197859, 198384, 198872, 199436, 199923, 200435, 200957, 201458]",80,EM,U,R,ITMSR,1.1,
0,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[207260, 207827, 208385, 208950, 209501, 210024, 210532, 211014, 211522, 212051, 212532, 213105, 213613, 214116, 214627, 215120, 215673, 216173, 216667, 217200, 217729, 218224, 218774]","[207331, 207856, 208447, 209006, 209548, 210080, 210596, 211081, 211582, 212114, 212596, 213154, 213636, 214176, 214679, 215193, 215723, 216229, 216731, 217252, 217773, 218262, 218846]","[38, 229, 8, 126, 127, 44, 233, 93, 138, 132, 38, 27, 138, 148, 121, 221, 140, 215, 249, 112, 85, 51, 61]","[207294, 207838, 208411, 208968, 209521, 210042, 210556, 211037, 211543, 212075, 212557, 213122, 213618, 214137, 214645, 215152, 215688, 216194, 216691, 217225, 217744, 218240, 218799]","[207070, 207570, 208070, 208570, 209070, 209570, 210070, 210570, 211034, 211543, 212071, 212552, 213125, 213634, 214136, 214647, 215140, 215693, 216194, 216687, 217220, 217749, 218244, 218795]",80,EM,U,R,ITMSR,1.1,
3,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[224758, 225334, 225936, 226455, 226936, 227471, 227983, 228454, 228978, 229486, 229995, 230478, 231033, 231563, 232076, 232561, 233091, 233610, 234104, 234669, 235164, 235655, 236175]","[224814, 225398, 226016, 226506, 226996, 227519, 228041, 228515, 229029, 229541, 230052, 230548, 231086, 231625, 232132, 232619, 233153, 233657, 234147, 234701, 235216, 235699, 236223]","[231, 227, 19, 45, 110, 242, 212, 215, 140, 12, 244, 91, 36, 26, 206, 203, 20, 249, 162, 112, 246, 179, 12]","[224777, 225351, 225966, 226470, 226955, 227488, 228004, 228474, 228995, 229502, 230016, 230498, 231050, 231584, 232094, 232578, 233114, 233631, 234124, 234679, 235186, 235672, 236195]","[224418, 224918, 225418, 225918, 226418, 226918, 227418, 227918, 228474, 228998, 229506, 230016, 230498, 231053, 231583, 232096, 232581, 233111, 233630, 234124, 234689, 235184, 235675, 236195]",80,EM,U,R,ITMSR,1.1,
5,400,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[298768, 299079, 299474, 299827, 300162, 300552, 300945, 301320, 301718, 302130, 302538, 302941, 303380, 303788, 304210, 304614, 305060, 305529, 305980, 306490, 306989, 307490, 308019, 308540]","[298817, 299133, 299517, 299878, 300213, 300601, 300996, 301380, 301769, 302182, 302599, 303012, 303444, 303844, 304257, 304681, 305118, 305581, 306040, 306565, 307067, 307544, 308078, 308597]","[0, 57, 153, 34, 74, 84, 113, 100, 58, 78, 86, 100, 49, 20, 251, 23, 229, 220, 255, 251, 209, 206, 233, 219]","[298789, 299099, 299493, 299847, 300182, 300569, 300961, 301336, 301732, 302147, 302556, 302962, 303400, 303805, 304227, 304635, 305081, 305545, 305998, 306510, 307007, 307506, 308036, 308558]","[298551, 298951, 299352, 299752, 300152, 300552, 300952, 301352, 301739, 302150, 302558, 302961, 303400, 303808, 304230, 304634, 305080, 305549, 306000, 306510, 307009, 307510, 308039, 308560]",80,EM,U,R,ITMSR,1.1,
4,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[314166, 314778, 315397, 316002, 316674, 317350, 318003, 318618, 319319, 319988, 320635, 321258, 321857, 322478, 323088, 323675, 324333, 324983, 325626, 326212, 326846, 327519, 328138]","[314228, 314853, 315467, 316076, 316737, 317410, 318074, 318664, 319367, 320016, 320695, 321335, 321953, 322570, 323139, 323753, 324402, 325053, 325700, 326313, 326928, 327607, 328207]","[24, 212, 220, 196, 113, 250, 25, 162, 23, 196, 60, 182, 157, 238, 9, 54, 156, 96, 172, 203, 19, 224, 195]","[314185, 314799, 315419, 316024, 316695, 317369, 318019, 318635, 319336, 319997, 320657, 321281, 321914, 322518, 323111, 323696, 324358, 325007, 325654, 326269, 326879, 327545, 328164]","[313877, 314477, 315077, 315677, 316277, 316877, 317477, 318077, 318638, 319339, 320008, 320655, 321278, 321878, 322498, 323108, 323695, 324354, 325003, 325646, 326232, 326866, 327539, 328158]",80,EM,U,R,ITMSR,1.1,
1,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[334051, 334717, 335381, 335992, 336586, 337202, 337855, 338418, 339041, 339632, 340259, 340846, 341486, 342144, 342729, 343297, 343888, 344449, 345129, 345732, 346306, 346889, 347515]","[334083, 334748, 335401, 336021, 336628, 337228, 337893, 338492, 339090, 339686, 340299, 340899, 341545, 342204, 342777, 343355, 343942, 344503, 345191, 345819, 346409, 346948, 347583]","[225, 206, 91, 233, 245, 11, 54, 78, 94, 113, 66, 65, 251, 246, 28, 55, 144, 67, 194, 68, 248, 184, 148]","[334066, 334730, 335388, 335996, 336604, 337207, 337870, 338440, 339058, 339652, 340279, 340866, 341508, 342166, 342749, 343322, 343909, 344466, 345164, 345759, 346379, 346914, 347540]","[333629, 334228, 334828, 335428, 336028, 336628, 337228, 337828, 338438, 339061, 339652, 340279, 340866, 341506, 342164, 342749, 343317, 343908, 344469, 345149, 345752, 346327, 346909, 347535]",80,EM,U,R,ITMSR,1.1,
