pitch,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,peak_pressures,peak_times,tone_times,subject,experimenter,register,handedness,experiment,version
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[66278, 66657, 67022, 67385, 67737, 68091, 68430, 68798, 69143, 69488, 69841, 70208, 70554, 70912, 71273, 71640, 71995, 72339, 72673, 73011, 73361, 73711, 74091, 74445, 74799, 75136, 75491, 75828, 76182, 76511]","[66478, 66845, 67204, 67562, 67928, 68268, 68613, 68967, 69331, 69684, 70025, 70391, 70748, 71102, 71464, 71818, 72154, 72501, 72826, 73187, 73527, 73885, 74253, 74603, 74954, 75303, 75664, 76002, 76343, 76701]","[162, 158, 158, 162, 156, 159, 157, 163, 160, 155, 163, 164, 168, 157, 165, 167, 162, 161, 153, 165, 164, 156, 169, 159, 170, 170, 157, 152, 173, 168]","[66361, 66660, 67026, 67388, 67740, 68094, 68433, 68801, 69146, 69490, 69844, 70210, 70556, 70914, 71276, 71643, 71998, 72342, 72676, 73014, 73363, 73714, 74094, 74447, 74802, 75139, 75493, 75830, 76184, 76513]",,70,OR,U,R,ITMSR,1.1
0,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[158657, 158974, 159310, 159678, 160029, 160380, 160694, 161045, 161457, 161971, 162481, 162939, 163363, 163756, 164106, 164446, 164760, 165079, 165373, 165685, 165994, 166287, 166583, 166871, 167161, 167463]","[158806, 159136, 159470, 159861, 160148, 160507, 160889, 161259, 161763, 162241, 162734, 163163, 163581, 163942, 164296, 164606, 164926, 165217, 165513, 165823, 166105, 166409, 166699, 166992, 167274, 167572]","[152, 158, 157, 149, 147, 167, 171, 168, 176, 172, 176, 175, 178, 175, 181, 173, 184, 170, 174, 176, 145, 173, 174, 176, 171, 171]","[158660, 158978, 159312, 159682, 160032, 160384, 160695, 161047, 161459, 161974, 162484, 162941, 163365, 163758, 164109, 164449, 164762, 165081, 165377, 165687, 165997, 166290, 166585, 166874, 167163, 167465]","[158542, 159042, 159542, 160043, 160542, 161042, 161542, 162042, 162501, 162959, 163383, 163776, 164126, 164466, 164781, 165099, 165393, 165705, 166014, 166307, 166603, 166891, 167181, 167483]",70,OR,U,R,ITMSR,1.1
4,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[174049, 174478, 174981, 175488, 175967, 176450, 176923, 177422, 177986, 178530, 179028, 179525, 180032, 180544, 181031, 181537, 182038, 182547, 183025, 183537, 184047, 184521, 185029]","[174170, 174645, 175160, 175653, 176185, 176671, 177176, 177777, 178321, 178799, 179315, 179825, 180310, 180820, 181334, 181871, 182382, 182874, 183362, 183867, 184338, 184797]","[133, 163, 164, 160, 160, 164, 175, 169, 164, 162, 171, 167, 169, 170, 170, 172, 165, 167, 173, 173, 173, 161]","[174053, 174566, 174984, 175491, 176073, 176567, 177063, 177589, 178117, 178680, 179183, 179691, 180034, 180547, 181035, 181700, 182203, 182727, 183215, 183706, 184208, 184689]","[173177, 173677, 174177, 174678, 175177, 175677, 176177, 176677, 177442, 178007, 178550, 179048, 179545, 180052, 180564, 181051, 181557, 182059, 182567, 183045, 183557, 184067, 184541, 185049]",70,OR,U,R,ITMSR,1.1
5,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[190874, 191208, 191663, 192133, 192634, 193130, 193606, 194119, 194598, 195052, 195491, 196001, 196492, 196992, 197494, 197980, 198432, 198935, 199411, 199876, 200356, 200784, 201243, 201676]","[191073, 191456, 191945, 192438, 192934, 193419, 193898, 194390, 194879, 195326, 195827, 196285, 196766, 197248, 197762, 198247, 198717, 199182, 199649, 200101, 200563, 201017, 201461, 201911]","[149, 159, 161, 174, 175, 166, 173, 165, 164, 166, 160, 161, 165, 152, 142, 147, 148, 144, 141, 128, 121, 137, 127, 135]","[190961, 191295, 191790, 192287, 192765, 193294, 193760, 194262, 194743, 195184, 195624, 196161, 196494, 196995, 197498, 198145, 198435, 198938, 199561, 200009, 200470, 200787, 201353, 201679]","[190699, 191198, 191698, 192198, 192698, 193198, 193698, 194198, 194618, 195073, 195511, 196021, 196512, 197012, 197514, 198000, 198452, 198956, 199431, 199896, 200376, 200804, 201263, 201696]",70,OR,U,R,ITMSR,1.1
2,500,practice,0,3,3,3,practice,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[207110, 207475, 207998, 208502, 209010, 209509, 209999, 210515, 211039, 211502, 211970, 212446, 212951, 213436, 213929, 214415, 214914, 215408, 215879, 216363, 216830, 217308, 217791, 218273]","[207318, 207813, 208299, 208833, 209313, 209816, 210300, 210794, 211294, 211759, 212204, 212697, 213201, 213663, 214148, 214642, 215140, 215627, 216097, 216593, 217080, 217545, 218033, 218463]","[141, 159, 161, 161, 163, 152, 157, 154, 170, 160, 162, 164, 151, 155, 160, 169, 161, 155, 138, 161, 160, 145, 156, 148]","[207110, 207656, 208171, 208690, 209178, 209696, 210176, 210662, 211188, 211504, 211973, 212448, 213085, 213439, 213933, 214417, 214917, 215411, 215982, 216365, 216833, 217311, 217794, 218276]","[207123, 207623, 208123, 208623, 209123, 209624, 210124, 210624, 211059, 211522, 211990, 212466, 212971, 213456, 213949, 214435, 214934, 215428, 215899, 216383, 216850, 217328, 217811, 218293]",70,OR,U,R,ITMSR,1.1
1,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[223830, 224189, 224635, 225102, 225574, 226063, 226564, 227043, 227514, 227962, 228423, 228910, 229406, 229902, 230407, 230886, 231397, 231874, 232338, 232807, 233279, 233792, 234312, 234753]","[224052, 224480, 224940, 225402, 225876, 226381, 226822, 227311, 227763, 228212, 228670, 229151, 229618, 230121, 230609, 231108, 231624, 232104, 232559, 233069, 233545, 234024, 234507, 234992]","[169, 162, 165, 155, 160, 146, 146, 163, 164, 155, 163, 160, 140, 148, 144, 144, 139, 156, 151, 143, 133, 157, 141, 159]","[223920, 224312, 224775, 225105, 225577, 226066, 226713, 227046, 227517, 227964, 228426, 228913, 229409, 229905, 230410, 230889, 231400, 231877, 232341, 232810, 233283, 233795, 234407, 234878]","[223600, 224099, 224600, 225100, 225600, 226100, 226600, 227100, 227534, 227982, 228443, 228930, 229426, 229922, 230427, 230906, 231417, 231895, 232358, 232827, 233299, 233812, 234332, 234773]",70,OR,U,R,ITMSR,1.1
3,500,practice,0,5,5,5,practice,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[240242, 240604, 241122, 241601, 242116, 242638, 243154, 243662, 244183, 244610, 245085, 245559, 246018, 246483, 246948, 247402, 247877, 248322, 248769, 249246, 249683, 250164, 250641, 251112]","[240444, 240967, 241430, 241928, 242447, 242976, 243483, 243983, 244432, 244886, 245338, 245833, 246304, 246743, 247174, 247671, 248126, 248569, 249048, 249509, 249974, 250456, 250916]","[151, 159, 161, 163, 151, 157, 168, 156, 153, 163, 161, 158, 144, 164, 162, 170, 162, 160, 157, 159, 161, 156, 170]","[240242, 240797, 241306, 241756, 242118, 242865, 243348, 243879, 244329, 244770, 245088, 245561, 246160, 246640, 246951, 247405, 248004, 248324, 248907, 249248, 249847, 250167, 250807]","[240253, 240753, 241253, 241753, 242253, 242753, 243253, 243753, 244203, 244630, 245105, 245579, 246038, 246503, 246968, 247422, 247897, 248342, 248790, 249266, 249703, 250184, 250661, 251132]",70,OR,U,R,ITMSR,1.1
0,600,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[344323, 344890, 345431, 346005, 346603, 347190, 347761, 348285, 348833, 349378, 349892, 350417, 350934, 351431, 351954, 352493, 353038, 353574, 354101, 354611, 355154, 355698, 356236, 356760]","[344529, 345116, 345698, 346225, 346828, 347396, 347952, 348506, 349077, 349634, 350157, 350678, 351177, 351741, 352261, 352800, 353357, 353872, 354393, 354876, 355415, 355943, 356431, 356967]","[162, 160, 157, 164, 166, 169, 151, 88, 66, 102, 107, 124, 117, 135, 143, 156, 136, 128, 136, 123, 146, 130, 127, 118]","[344412, 344995, 345434, 346115, 346605, 347192, 347764, 348395, 348837, 349381, 349896, 350420, 350938, 351434, 351958, 352496, 353041, 353577, 354104, 354614, 355156, 355701, 356239, 356879]","[344042, 344642, 345242, 345842, 346442, 347042, 347642, 348242, 348853, 349399, 349912, 350437, 350954, 351451, 351974, 352514, 353058, 353594, 354121, 354631, 355174, 355718, 356256, 356781]",70,OR,U,R,ITMSR,1.1
0,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[362504, 362858, 363420, 364050, 364669, 365280, 365889, 366472, 367035, 367620, 368187, 368757, 369377, 369977, 370557, 371125, 371693, 372233, 372803, 373379, 373952, 374510, 375107, 375710]","[362707, 363211, 363781, 364324, 364935, 365528, 366138, 366734, 367335, 367924, 368540, 369154, 369739, 370313, 370847, 371418, 371970, 372551, 373111, 373664, 374267, 374876, 375439]","[137, 148, 131, 133, 127, 115, 135, 129, 106, 120, 137, 125, 119, 123, 128, 122, 139, 121, 128, 128, 121, 121, 132]","[362588, 362963, 363640, 364218, 364816, 365283, 366029, 366641, 367039, 367807, 368414, 369022, 369381, 370189, 370561, 371271, 371872, 372426, 372990, 373549, 374145, 374757, 375306]","[362322, 362921, 363522, 364122, 364722, 365322, 365922, 366522, 367055, 367640, 368207, 368777, 369397, 369997, 370577, 371145, 371714, 372253, 372824, 373399, 373972, 374530, 375128, 375730]",70,OR,U,R,ITMSR,1.1
1,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[381674, 382140, 382667, 383251, 383817, 384401, 384977, 385574, 386183, 386660, 387259, 387798, 388338, 388885, 389422, 389929, 390451, 391000, 391558, 392117, 392680, 393260, 393842, 394378]","[381993, 382474, 383027, 383563, 384140, 384680, 385265, 385862, 386404, 387067, 387589, 388124, 388663, 389180, 389675, 390196, 390743, 391321, 391888, 392428, 393049, 393620, 394178]","[127, 130, 126, 131, 122, 103, 109, 108, 101, 118, 112, 104, 112, 104, 114, 99, 108, 131, 139, 129, 132, 127, 127]","[381788, 382305, 382671, 383254, 383820, 384405, 384982, 385579, 386311, 386664, 387463, 387802, 388341, 388889, 389426, 389934, 390455, 391003, 391561, 392309, 392683, 393494, 393845]","[381514, 382114, 382714, 383314, 383915, 384514, 385114, 385714, 386203, 386680, 387279, 387818, 388358, 388905, 389442, 389949, 390471, 391020, 391578, 392137, 392700, 393280, 393862, 394398]",70,OR,U,R,ITMSR,1.1
