pitch,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,peak_pressures,peak_times,tone_times,subject,experimenter,register,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[33953, 34803, 40163, 40392, 40717, 41017, 41372, 41839, 42243, 42785, 43220, 43694, 44179, 44631, 45143, 45658, 46130, 46612, 47120, 47600, 48066, 48560, 49040, 49557, 50046, 50540, 51057, 51464, 51991, 52451]","[34216, 35136, 40223, 40425, 40760, 41061, 41427, 41890, 42318, 42849, 43297, 43749, 44234, 44686, 45223, 45713, 46157, 46696, 47190, 47641, 48133, 48648, 49110, 49647, 50128, 50604, 51103, 51557, 52046, 52552]","[178, 195, 231, 237, 164, 58, 37, 139, 75, 99, 167, 126, 140, 200, 31, 175, 212, 47, 1, 199, 2, 110, 82, 231, 32, 218, 177, 220, 60, 23]","[34068, 34966, 40172, 40398, 40725, 41026, 41380, 41847, 42250, 42791, 43227, 43701, 44185, 44637, 45151, 45664, 46135, 46618, 47125, 47606, 48074, 48565, 49047, 49566, 50053, 50546, 51061, 51471, 51997, 52458]",,52,SB,L,R,ITMSR,1.0,
0,500,practice,0,0,0,0,practice,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[145501, 145906, 146446, 146975, 147564, 147991, 148455, 148820, 149395, 149972, 150501, 150992, 151544, 152028, 152577, 153123, 153688, 154167, 154735, 155283, 155765, 156326, 156834, 157336]","[145529, 145984, 146531, 147059, 147593, 148057, 148529, 148898, 149472, 150052, 150580, 151063, 151600, 152120, 152650, 153195, 153732, 154217, 154804, 155354, 155844, 156394, 156907, 157421]","[249, 182, 166, 75, 15, 80, 34, 215, 57, 216, 223, 21, 77, 37, 59, 79, 30, 66, 103, 113, 43, 203, 194, 145]","[145501, 145912, 146452, 146983, 147572, 147998, 148463, 148829, 149401, 150013, 150507, 150998, 151550, 152078, 152584, 153131, 153695, 154175, 154741, 155324, 155805, 156333, 156840, 157344]","[145529, 146028, 146529, 147028, 147528, 148029, 148529, 149028, 149436, 150012, 150542, 151032, 151584, 152069, 152617, 153163, 153729, 154208, 154775, 155324, 155805, 156366, 156874, 157377]",52,SB,L,R,ITMSR,1.0,
1,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[162759, 163284, 163850, 164410, 164973, 165665, 166253, 167014, 167811, 168486, 169066, 169619, 170204, 170793, 171377, 171905, 172550, 173106, 173712, 174364, 174948, 175557, 176133]","[162852, 163353, 163930, 164477, 165076, 165743, 166321, 167104, 167898, 168581, 169185, 169724, 170283, 170896, 171491, 172028, 172666, 173228, 173760, 174537, 175121, 175709, 176309]","[38, 84, 87, 29, 52, 64, 6, 29, 1, 17, 184, 245, 182, 233, 111, 3, 229, 242, 108, 214, 127, 205, 179]","[162813, 163324, 163892, 164446, 165038, 165704, 166293, 167067, 167874, 168529, 169143, 169698, 170210, 170859, 171447, 171975, 172557, 173177, 173720, 174455, 175024, 175632, 176225]","[162741, 163240, 163740, 164241, 164741, 165240, 165740, 166241, 167054, 167851, 168525, 169106, 169659, 170244, 170832, 171416, 171944, 172590, 173146, 173752, 174403, 174988, 175596, 176173]",52,SB,L,R,ITMSR,1.0,
4,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[181808, 182433, 183252, 184004, 184848, 185643, 186627, 187447, 188105, 188915, 189580, 190182, 191124, 191872, 192588, 193285, 194020, 194700, 195433, 196117, 196844]","[181924, 182597, 183382, 184130, 185011, 185791, 186764, 187591, 188337, 189102, 189735, 190359, 191243, 192016, 192717, 193397, 194168, 194879, 195568, 196235, 196995]","[13, 231, 2, 9, 45, 164, 253, 24, 73, 5, 226, 201, 140, 248, 250, 232, 2, 60, 50, 42, 66]","[181866, 182525, 183323, 184077, 184947, 185711, 186697, 187528, 188231, 189025, 189663, 190282, 191195, 191946, 192675, 193355, 194118, 194786, 195520, 196192, 196937]","[181749, 182249, 182749, 183248, 183748, 184249, 184749, 185248, 185681, 186665, 187486, 188143, 188953, 189619, 190221, 191163, 191910, 192626, 193324, 194059, 194739, 195472, 196156, 196883]",52,SB,L,R,ITMSR,1.0,
5,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[202634, 203807, 204852, 205831, 206908, 207920, 208945, 209811, 210533, 211235, 212003, 212862, 213682, 214529, 215365, 216258, 217174, 218096, 218909, 219662]","[202730, 203968, 205069, 206013, 207176, 208390, 209331, 210042, 210715, 211459, 212236, 213038, 213868, 214677, 215604, 216554, 217431, 218375, 219186]","[37, 92, 19, 239, 69, 50, 72, 51, 11, 26, 31, 221, 170, 128, 46, 65, 249, 29, 151]","[202678, 203893, 204991, 205935, 207028, 208303, 209184, 209911, 210627, 211316, 212112, 212952, 213778, 214612, 215489, 216379, 217289, 218211, 219004]","[202435, 202936, 203436, 203935, 204436, 204936, 205435, 205935, 206949, 207961, 208986, 209852, 210574, 211275, 212043, 212902, 213723, 214569, 215405, 216299, 217214, 218136, 218949, 219703]",52,SB,L,R,ITMSR,1.0,
2,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[225199, 226185, 227472, 228558, 229843, 231034, 231921, 232863, 233760, 234670, 235559, 236481, 237403, 238309, 239198, 240119, 241010, 241966, 242939, 243938]","[225375, 226445, 227784, 228960, 230377, 231246, 232122, 233145, 234099, 234957, 235875, 236772, 237681, 238598, 239421, 240381, 241266, 242266, 243236, 244199]","[122, 10, 43, 251, 48, 29, 129, 52, 43, 39, 45, 21, 54, 24, 84, 70, 110, 239, 55, 96]","[225303, 226360, 227622, 228834, 230049, 231038, 231924, 232870, 233991, 234676, 235565, 236485, 237408, 238315, 239202, 240123, 241013, 241970, 242946, 243943]","[225040, 225539, 226038, 226539, 227039, 227538, 228038, 228539, 229883, 231074, 231961, 232903, 233800, 234711, 235599, 236522, 237444, 238350, 239239, 240159, 241050, 242007, 242979, 243979]",52,SB,L,R,ITMSR,1.0,
3,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[249490, 250690, 251659, 252674, 253764, 254894, 255803, 256603, 257344, 258328, 259192, 260021, 260822, 261687, 262627, 263706, 264671, 265605, 266680, 267487]","[249672, 250866, 251999, 253046, 254281, 255238, 256077, 256909, 257755, 258655, 259525, 260297, 261171, 262117, 263132, 264120, 265095, 265946, 266901]","[120, 211, 151, 215, 56, 231, 206, 90, 102, 64, 5, 220, 203, 250, 51, 174, 32, 109, 220]","[249569, 250818, 251664, 252678, 253769, 254898, 255808, 256608, 257348, 258333, 259197, 260026, 260826, 261691, 262632, 263712, 264675, 265610, 266686]","[249451, 249951, 250450, 250950, 251451, 251951, 252450, 252950, 253804, 254935, 255844, 256644, 257385, 258369, 259232, 260062, 260862, 261728, 262668, 263746, 264712, 265646, 266721, 267528]",52,SB,L,R,ITMSR,1.0,
5,400,trial,0,6,6,6,trial,"['S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[318809, 319851, 320824, 321975, 322939, 323728, 324391, 325360, 326494, 327574, 328569, 329595, 330601, 331575, 332537, 333559, 334530, 335567, 336625]","[319287, 320183, 321231, 322248, 323174, 323941, 324595, 325704, 326903, 327983, 328930, 329950, 330945, 331937, 332901, 333925, 334946, 335973]","[68, 236, 43, 15, 14, 80, 89, 247, 100, 54, 97, 66, 233, 50, 1, 211, 143, 180]","[318969, 319856, 320828, 321979, 322944, 323731, 324396, 325537, 326497, 327578, 328573, 329601, 330605, 331579, 332541, 333562, 334534, 335569]","[318486, 318886, 319287, 319686, 320087, 320487, 320886, 321287, 322016, 322979, 323769, 324431, 325400, 326535, 327615, 328609, 329635, 330642, 331616, 332577, 333599, 334571, 335607, 336665]",52,SB,L,R,ITMSR,1.0,
4,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[343463, 344601, 345826, 347154, 348436, 349566, 350660, 351863, 353041, 354169, 355317, 356454, 357524, 359319, 360427, 361555, 362632, 363740, 364934]","[343896, 344981, 346350, 347656, 348960, 349992, 350981, 352071, 353267, 354420, 355650, 356784, 357889, 359570, 360737, 361856, 362959, 364078]","[235, 57, 40, 235, 22, 38, 233, 9, 229, 22, 27, 46, 40, 14, 17, 4, 31, 202]","[343468, 344604, 345830, 347157, 348439, 349570, 350663, 351867, 353043, 354173, 355320, 356457, 357526, 359322, 360430, 361559, 362635, 363744]","[342359, 342959, 343559, 344159, 344759, 345359, 345959, 346559, 347193, 348475, 349604, 350698, 351901, 353080, 354207, 355355, 356493, 357563, 359358, 360466, 361593, 362671, 363779, 364973]",52,SB,L,R,ITMSR,1.0,
5,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[371336, 371733, 372262, 372833, 373408, 373995, 374495, 375137, 375783, 376429, 376990, 377533, 378065, 378638, 379192, 379756, 380346, 380955, 381572, 382203, 382780, 383356, 383963]","[371447, 371916, 372407, 372947, 373497, 374095, 374717, 375324, 375932, 376585, 377151, 377715, 378227, 378799, 379358, 379914, 380502, 381108, 381733, 382427, 382988, 383544, 384105]","[72, 117, 136, 54, 254, 55, 4, 117, 32, 83, 115, 168, 111, 62, 75, 61, 255, 149, 184, 175, 190, 218, 198]","[371404, 371838, 372268, 372902, 373412, 373999, 374500, 375143, 375862, 376433, 376995, 377538, 378071, 378743, 379284, 379760, 380349, 380960, 381577, 382209, 382784, 383361, 383968]","[370684, 371284, 371885, 372485, 373085, 373685, 374285, 374885, 375178, 375824, 376470, 377030, 377574, 378105, 378679, 379233, 379797, 380387, 380995, 381613, 382243, 382821, 383396, 384004]",52,SB,L,R,ITMSR,1.0,
