octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[37387, 37957, 38534, 39124, 39769, 40358, 40931, 41533, 42153, 42799, 43382, 43937, 44552, 45155, 45752, 46352, 46913, 47537, 48163, 48776, 49370, 49975, 50567, 51134, 51716, 52306, 52896, 53454, 53977, 54530]","[37633, 38187, 38752, 39366, 39964, 40584, 41127, 41738, 42333, 42957, 43547, 44105, 44696, 45264, 45870, 46462, 47033, 47657, 48263, 48883, 49489, 50112, 50723, 51257, 51865, 52422, 53042, 53592, 54119, 54661]",,46,R,ITM,1.1,
3,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[146847, 147365, 147874, 148372, 148921, 149366, 149842, 150319, 150773, 151268, 151780, 152283, 152774, 153243, 153709, 154213, 154716, 155202, 155695, 156174, 156677, 157164, 157655]","[146921, 147467, 147983, 148477, 149015, 149465, 149920, 150398, 150863, 151370, 151876, 152371, 152860, 153342, 153794, 154299, 154800, 155290, 155792, 156267, 156761, 157244, 157727]","[146403, 146904, 147403, 147903, 148403, 148903, 149403, 149903, 150344, 150799, 151293, 151805, 152308, 152800, 153269, 153736, 154238, 154741, 155228, 155720, 156199, 156702, 157190, 157680]",46,R,ITM,1.1,
6,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[165325, 165797, 166303, 166805, 167317, 167811, 168296, 168760, 169264, 169751, 170260, 170750, 171247, 171731, 172230, 172720, 173206, 173689, 174190, 174661]","[165404, 165899, 166407, 166902, 167421, 167899, 168396, 168862, 169368, 169858, 170349, 170850, 171326, 171829, 172311, 172811, 173293, 173797, 174288, 174758]","[163354, 163853, 164354, 164853, 165353, 165854, 166354, 166854, 167345, 167838, 168324, 168786, 169291, 169778, 170287, 170776, 171274, 171758, 172258, 172746, 173233, 173716, 174217, 174688]",46,R,ITM,1.1,
7,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[181283, 181812, 182312, 182789, 183312, 183821, 184353, 184878, 185372, 185864, 186352, 186869, 187368, 187884, 188393, 188887, 189352, 189856, 190367, 190870, 191370, 191885]","[181400, 181920, 182418, 182903, 183414, 183944, 184478, 184998, 185510, 185993, 186470, 187008, 187508, 188005, 188508, 188997, 189492, 190031, 190501, 190991, 191519, 192024]","[180384, 180883, 181384, 181884, 182384, 182884, 183385, 183884, 184380, 184904, 185399, 185890, 186379, 186897, 187395, 187911, 188421, 188914, 189380, 189883, 190395, 190898, 191396, 191912]",46,R,ITM,1.1,
5,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[199161, 199641, 200134, 200654, 201145, 201668, 202173, 202673, 203174, 203687, 204182, 204698, 205205, 205717, 206228, 206713, 207229, 207734, 208273, 208755]","[199242, 199750, 200239, 200756, 201259, 201790, 202326, 202831, 203327, 203854, 204350, 204839, 205340, 205874, 206394, 206883, 207396, 207889, 208416, 208912]","[197214, 197714, 198214, 198714, 199215, 199714, 200214, 200714, 201170, 201694, 202199, 202698, 203200, 203714, 204208, 204725, 205231, 205743, 206254, 206740, 207255, 207761, 208299, 208781]",46,R,ITM,1.1,
4,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[216039, 216551, 217030, 217566, 218070, 218579, 219084, 219585, 220069, 220589, 221094, 221600, 222094, 222592, 223108, 223625, 224131, 224622, 225118, 225642]","[216135, 216665, 217141, 217681, 218198, 218708, 219216, 219740, 220235, 220749, 221268, 221782, 222332, 222804, 223288, 223797, 224309, 224803, 225291, 225810]","[214110, 214609, 215109, 215609, 216110, 216609, 217109, 217609, 218095, 218605, 219111, 219611, 220095, 220614, 221120, 221626, 222119, 222617, 223133, 223650, 224156, 224648, 225143, 225668]",46,R,ITM,1.1,
2,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[233248, 233736, 234248, 234755, 235264, 235754, 236276, 236779, 237288, 237794, 238288, 238804, 239306, 239828, 240334, 240827, 241310, 241814, 242320, 242835]","[233360, 233880, 234370, 234883, 235408, 235910, 236424, 236906, 237403, 237895, 238409, 238921, 239414, 239916, 240456, 240950, 241443, 241915, 242426, 242932]","[231304, 231803, 232303, 232802, 233304, 233803, 234303, 234803, 235290, 235781, 236304, 236807, 237316, 237821, 238316, 238832, 239334, 239854, 240362, 240854, 241338, 241841, 242347, 242862]",46,R,ITM,1.1,
2,600,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[257235, 257808, 258442, 259009, 259585, 260209, 260828, 261419, 262043, 262646, 263259, 263868, 264467, 265074, 265677, 266320, 266917, 267531, 268131, 268727]","[257370, 257959, 258610, 259213, 259744, 260369, 261009, 261585, 262179, 262830, 263445, 264031, 264619, 265243, 265825, 266434, 267061, 267660, 268281, 268861]","[254823, 255422, 256023, 256622, 257223, 257822, 258422, 259023, 259612, 260237, 260854, 261445, 262071, 262674, 263286, 263895, 264495, 265101, 265704, 266347, 266944, 267558, 268157, 268754]",46,R,ITM,1.1,
4,400,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[275561, 275945, 276334, 276754, 277130, 277517, 277951, 278356, 278767, 279194, 279645, 280061, 280465, 280894, 281328, 281742, 282168, 282596, 283020, 283442]","[275639, 276035, 276419, 276843, 277215, 277609, 278062, 278473, 278893, 279285, 279741, 280152, 280565, 280982, 281418, 281844, 282281, 282703, 283141, 283556]","[274035, 274436, 274835, 275235, 275635, 276035, 276435, 276835, 277155, 277542, 277977, 278382, 278793, 279220, 279670, 280087, 280491, 280920, 281354, 281767, 282193, 282621, 283045, 283467]",46,R,ITM,1.1,
6,400,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[290575, 290983, 291379, 291783, 292183, 292574, 292981, 293391, 293772, 294181, 294575, 294982, 295380, 295788, 296181, 296612, 296983, 297407, 297802, 298199]","[290660, 291081, 291453, 291869, 292257, 292674, 293083, 293489, 293881, 294285, 294695, 295096, 295480, 295898, 296310, 296716, 297097, 297498, 297918, 298304]","[289034, 289433, 289833, 290233, 290633, 291034, 291433, 291833, 292209, 292600, 293008, 293419, 293798, 294208, 294601, 295009, 295408, 295816, 296209, 296639, 297010, 297434, 297830, 298225]",46,R,ITM,1.1,
