octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[40016, 55191, 55758, 56354, 56922, 57508, 58072, 58655, 59209, 59730, 60273, 60818, 61336, 61853, 62396, 62930, 63479, 64025, 64600, 65134, 65649, 66224, 66763, 67276, 67824, 68345, 68845, 69358, 69913, 70438]","[40171, 55371, 55948, 56592, 57138, 57748, 58311, 58869, 59426, 59954, 60499, 61016, 61546, 62056, 62616, 63172, 63689, 64304, 64784, 65343, 65845, 66407, 66927, 67428, 67944, 68517, 68990, 69513, 70096, 70639]",,17,R,ITM,1.1,
3,500,practice,0,0,0,0,practice,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[129807, 130318, 130845, 131325, 131877, 132310, 132879, 133298, 133898, 134400, 134931, 135479, 136032, 136609, 137196, 137789, 138432, 139055, 139677, 140338, 141017, 141790, 142493, 143126]","[129909, 130459, 130982, 131473, 131983, 132465, 132994, 133454, 134044, 134528, 135068, 135614, 136194, 136777, 137359, 137973, 138584, 139209, 139858, 140494, 141144, 141872, 142610, 143260]","[129818, 130318, 130819, 131318, 131818, 132318, 132818, 133318, 133923, 134425, 134958, 135504, 136057, 136635, 137222, 137815, 138458, 139080, 139703, 140363, 141042, 141815, 142519, 143153]",17,R,ITM,1.1,
4,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[149055, 149670, 150110, 150644, 151153, 151613, 152113, 152613, 153098, 153679, 154238, 154849, 155405, 156016, 156583, 157284, 157886, 158482, 159083, 159700, 160275, 160945, 161460]","[149203, 149789, 150246, 150752, 151258, 151738, 152222, 152717, 153171, 153773, 154346, 154961, 155508, 156141, 156717, 157387, 158020, 158590, 159172, 159816, 160377, 161006, 161543]","[148628, 149128, 149628, 150128, 150628, 151129, 151628, 152128, 152639, 153123, 153705, 154264, 154874, 155430, 156042, 156609, 157309, 157913, 158508, 159109, 159725, 160301, 160970, 161486]",17,R,ITM,1.1,
7,500,practice,0,2,2,2,practice,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[166922, 167347, 167872, 168435, 168954, 169483, 169975, 170434, 171036, 171627, 172205, 172815, 173408, 174030, 174642, 175254, 175865, 176514, 177167, 177753, 178424, 179039, 179633, 180254]","[166942, 167449, 167980, 168553, 169025, 169548, 170065, 170547, 171127, 171736, 172318, 172935, 173506, 174133, 174735, 175337, 175990, 176640, 177272, 177891, 178542, 179171, 179759, 180393]","[166935, 167434, 167934, 168434, 168934, 169435, 169934, 170434, 171064, 171654, 172231, 172843, 173434, 174058, 174668, 175282, 175892, 176541, 177193, 177780, 178451, 179065, 179660, 180282]",17,R,ITM,1.1,
2,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[185650, 186128, 186677, 187156, 187645, 188118, 188617, 189168, 189646, 190194, 190730, 191311, 191854, 192415, 193018, 193555, 194162, 194758, 195359, 195942, 196561, 197134, 197806, 198409]","[185755, 186273, 186820, 187275, 187746, 188215, 188708, 189242, 189739, 190278, 190830, 191397, 191933, 192508, 193102, 193617, 194272, 194818, 195434, 196039, 196662, 197276, 197880, 198514]","[185586, 186086, 186587, 187086, 187585, 188086, 188587, 189085, 189674, 190222, 190757, 191339, 191882, 192443, 193045, 193582, 194189, 194786, 195387, 195969, 196588, 197161, 197833, 198436]",17,R,ITM,1.1,
6,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[204413, 205071, 205574, 206112, 206617, 207109, 207578, 208090, 208643, 209281, 209814, 210375, 210893, 211520, 212065, 212780, 213431, 214068, 214714, 215299, 215952, 216555, 217250]","[204583, 205198, 205699, 206237, 206783, 207210, 207677, 208207, 208783, 209389, 209898, 210464, 210993, 211621, 212154, 212836, 213540, 214204, 214791, 215425, 216043, 216683, 217290]","[203996, 204494, 204994, 205494, 205995, 206494, 206994, 207495, 208116, 208670, 209307, 209842, 210403, 210920, 211547, 212091, 212807, 213457, 214094, 214742, 215326, 215979, 216583, 217277]",17,R,ITM,1.1,
5,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[222927, 223584, 224143, 224687, 225232, 225735, 226232, 226794, 227303, 227918, 228450, 229059, 229574, 230191, 230790, 231369, 231980, 232521, 233063, 233732, 234336, 234918, 235543]","[223066, 223675, 224219, 224803, 225306, 225839, 226335, 226971, 227442, 227978, 228514, 229157, 229652, 230297, 230901, 231463, 232119, 232673, 233227, 233870, 234377, 235005, 235598]","[222613, 223113, 223613, 224113, 224613, 225114, 225613, 226113, 226820, 227329, 227944, 228475, 229085, 229600, 230216, 230816, 231395, 232005, 232547, 233089, 233757, 234361, 234944, 235569]",17,R,ITM,1.1,
3,400,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[302145, 302682, 303135, 303446, 303816, 304231, 304609, 305006, 305356, 305673, 305954, 306275, 306749, 307094, 307521, 308020, 308426, 308825, 309196, 309532, 309954, 310293, 310660]","[302248, 302829, 303243, 303558, 303903, 304320, 304692, 305095, 305436, 305719, 306000, 306300, 306843, 307120, 307614, 308045, 308468, 308850, 309293, 309559, 310022, 310319, 310712]","[301877, 302276, 302676, 303076, 303476, 303877, 304276, 304676, 305032, 305382, 305698, 305980, 306300, 306775, 307120, 307547, 308045, 308452, 308850, 309222, 309558, 309980, 310319, 310685]",17,R,ITM,1.1,
6,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[316626, 316882, 317448, 318159, 318755, 319344, 319911, 320552, 321107, 321697, 322278, 322859, 323389, 323933, 324496, 325052, 325608, 326211, 326771, 327292, 327865, 328424, 328979, 329530]","[316693, 317049, 317591, 318297, 318866, 319448, 320010, 320620, 321179, 321787, 322370, 322940, 323524, 324064, 324680, 325201, 325748, 326333, 326872, 327453, 328034, 328605, 329158, 329701]","[316437, 317036, 317636, 318236, 318836, 319436, 320036, 320636, 321135, 321724, 322305, 322885, 323416, 323960, 324523, 325080, 325636, 326238, 326798, 327320, 327892, 328452, 329007, 329556]",17,R,ITM,1.1,
4,400,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[335524, 335945, 336226, 336663, 337035, 337431, 337804, 338237, 338581, 339028, 339396, 339755, 340163, 340526, 340895, 341286, 341649, 342005, 342358, 342744, 343122, 343457, 343835]","[335694, 336040, 336329, 336734, 337111, 337501, 337911, 338295, 338650, 339090, 339448, 339830, 340220, 340580, 340964, 341326, 341690, 342062, 342445, 342782, 343175, 343505, 343880]","[335119, 335519, 335920, 336319, 336719, 337119, 337519, 337920, 338263, 338608, 339054, 339422, 339780, 340189, 340551, 340921, 341312, 341675, 342031, 342383, 342769, 343148, 343483, 343861]",17,R,ITM,1.1,
