octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[45293, 45712, 46164, 46616, 47057, 47493, 47918, 48354, 48783, 49224, 49653, 50072, 50492, 50946, 51342, 51778, 52191, 52609, 53042, 53438, 53830, 54232, 54652, 55086, 55514, 55919, 56340, 56771, 57174, 57604]","[45402, 45825, 46264, 46744, 47154, 47617, 48037, 48454, 48900, 49341, 49754, 50163, 50597, 51027, 51447, 51878, 52288, 52716, 53143, 53552, 53946, 54342, 54765, 55187, 55614, 56037, 56465, 56865, 57277, 57722]",,43,R,ITM,1.1,
6,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[133870, 134427, 134939, 135443, 135953, 136486, 136989, 137472, 137926, 138396, 138878, 139366, 139873, 140322, 140816, 141286, 141761, 142227, 142706, 143193, 143654, 144159, 144618]","[134004, 134551, 135070, 135595, 136122, 136648, 137157, 137627, 138082, 138541, 139015, 139497, 140001, 140468, 140948, 141435, 141914, 142379, 142851, 143341, 143827, 144312, 144811]","[133553, 134051, 134551, 135051, 135552, 136051, 136551, 137052, 137499, 137954, 138424, 138905, 139394, 139899, 140350, 140843, 141314, 141788, 142255, 142734, 143219, 143681, 144186, 144645]",43,R,ITM,1.1,
5,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[150422, 150944, 151481, 151983, 152508, 153042, 153541, 154042, 154571, 155088, 155580, 156073, 156584, 157089, 157600, 158112, 158628, 159137, 159650, 160143, 160643, 161164, 161667]","[150540, 151135, 151646, 152176, 152679, 153208, 153707, 154220, 154741, 155243, 155741, 156237, 156754, 157263, 157772, 158288, 158806, 159353, 159843, 160345, 160874, 161362, 161918]","[150041, 150540, 151041, 151540, 152040, 152541, 153041, 153541, 154067, 154597, 155114, 155606, 156099, 156610, 157115, 157627, 158139, 158654, 159163, 159677, 160168, 160668, 161189, 161693]",43,R,ITM,1.1,
4,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[167391, 167898, 168406, 168924, 169423, 169942, 170456, 170954, 171454, 171964, 172470, 173000, 173522, 174010, 174487, 174990, 175479, 175998, 176517, 176994, 177514, 177984, 178511]","[167598, 168094, 168609, 169167, 169635, 170212, 170693, 171217, 171681, 172180, 172668, 173214, 173700, 174211, 174747, 175232, 175704, 176228, 176730, 177236, 177727, 178197, 178699]","[166994, 167494, 167994, 168495, 168994, 169494, 169994, 170494, 170980, 171480, 171990, 172496, 173026, 173548, 174035, 174513, 175015, 175505, 176023, 176543, 177019, 177541, 178010, 178538]",43,R,ITM,1.1,
2,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[184666, 185163, 185668, 186175, 186648, 187186, 187702, 188195, 188712, 189222, 189740, 190211, 190673, 191179, 191714, 192245, 192743, 193273, 193794, 194281, 194775, 195337, 195846]","[184880, 185380, 185921, 186392, 186895, 187365, 187900, 188426, 188944, 189433, 189930, 190457, 190929, 191434, 191936, 192464, 192945, 193473, 193997, 194527, 195050, 195539, 196074]","[184212, 184712, 185213, 185712, 186212, 186714, 187213, 187713, 188222, 188739, 189249, 189766, 190238, 190701, 191207, 191740, 192272, 192770, 193300, 193820, 194308, 194801, 195364, 195873]",43,R,ITM,1.1,
3,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[202202, 202719, 203229, 203736, 204270, 204783, 205330, 205831, 206337, 206836, 207335, 207826, 208346, 208844, 209352, 209886, 210409, 210910, 211429, 211929, 212453, 212957]","[202412, 202954, 203478, 203998, 204485, 205031, 205562, 206050, 206572, 207057, 207527, 208025, 208543, 209062, 209570, 210058, 210582, 211097, 211643, 212146, 212673, 213181]","[201325, 201825, 202326, 202825, 203325, 203826, 204326, 204826, 205356, 205856, 206362, 206862, 207361, 207852, 208371, 208870, 209378, 209911, 210435, 210935, 211454, 211954, 212478, 212982]",43,R,ITM,1.1,
7,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[218888, 219418, 219955, 220480, 221011, 221488, 221978, 222484, 222971, 223493, 224006, 224525, 225008, 225509, 226042, 226551, 227066, 227565, 228068, 228586, 229064, 229542, 230077]","[219119, 219646, 220189, 220702, 221217, 221711, 222210, 222674, 223173, 223670, 224235, 224745, 225205, 225707, 226222, 226726, 227232, 227740, 228270, 228776, 229244, 229737, 230281]","[218547, 219045, 219545, 220045, 220546, 221045, 221545, 222046, 222512, 222998, 223519, 224033, 224552, 225035, 225536, 226070, 226579, 227094, 227592, 228094, 228613, 229092, 229569, 230105]",43,R,ITM,1.1,
3,600,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[308475, 309133, 309807, 310468, 311111, 311734, 312364, 312980, 313565, 314147, 314734, 315344, 315926, 316549, 317145, 317711, 318298, 318848, 319407, 320014, 320587, 321189, 321799]","[308653, 309332, 310020, 310658, 311358, 311943, 312594, 313273, 313840, 314399, 314983, 315591, 316217, 316780, 317387, 318015, 318565, 319120, 319704, 320241, 320836, 321436, 322038]","[308250, 308850, 309450, 310050, 310650, 311250, 311851, 312451, 313006, 313590, 314173, 314760, 315370, 315952, 316574, 317170, 317736, 318323, 318873, 319432, 320039, 320613, 321215, 321824]",43,R,ITM,1.1,
7,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[327458, 328144, 328834, 329466, 330054, 330692, 331308, 331917, 332547, 333144, 333748, 334342, 334927, 335555, 336192, 336777, 337390, 338023, 338613, 339212, 339880, 340494, 341134]","[327711, 328446, 329171, 329800, 330391, 331021, 331660, 332341, 332891, 333435, 334035, 334669, 335223, 335854, 336509, 337069, 337744, 338333, 338929, 339589, 340165, 340790, 341376]","[327126, 327725, 328325, 328925, 329524, 330124, 330724, 331324, 331943, 332573, 333171, 333775, 334368, 334954, 335582, 336220, 336803, 337417, 338051, 338640, 339238, 339908, 340521, 341161]",43,R,ITM,1.1,
4,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[347022, 347703, 348319, 348933, 349510, 350105, 350755, 351340, 351912, 352544, 353128, 353704, 354340, 354966, 355568, 356159, 356758, 357319, 357892, 358500, 359121, 359779, 360397]","[347371, 348054, 348662, 349237, 349813, 350393, 351028, 351670, 352289, 352836, 353413, 354020, 354622, 355264, 355848, 356378, 357026, 357598, 358185, 358793, 359387, 360016, 360599]","[346592, 347192, 347792, 348392, 348992, 349592, 350192, 350792, 351366, 351938, 352570, 353154, 353730, 354366, 354992, 355594, 356185, 356785, 357345, 357917, 358525, 359147, 359804, 360423]",43,R,ITM,1.1,
