octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[41797, 42567, 43433, 44358, 45340, 46221, 47172, 48034, 48902, 49756, 50571, 51420, 52270, 53158, 53999, 54776, 55609, 56409, 57239, 58070, 58925, 59734, 60605, 61419, 62285, 63079, 63951, 64700, 65545, 66428]","[41940, 42742, 43591, 44517, 45472, 46383, 47332, 48201, 49058, 49904, 50696, 51560, 52403, 53284, 54161, 54860, 55709, 56524, 57357, 58213, 59094, 59881, 60738, 61502, 62410, 63254, 64092, 64846, 65730, 66564]",,27,R,ITM,1.1,
7,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[146502, 146961, 147473, 148012, 148535, 149042, 149571, 150089, 150557, 151052, 151497, 152002, 152477, 152975, 153458, 153973, 154423, 154941, 155408, 155887, 156322, 156797, 157281]","[146591, 147050, 147572, 148101, 148641, 149137, 149643, 150196, 150646, 151150, 151584, 152094, 152559, 153061, 153544, 154033, 154528, 155010, 155472, 155953, 156395, 156862, 157330]","[146132, 146632, 147132, 147633, 148132, 148632, 149132, 149633, 150116, 150585, 151079, 151524, 152029, 152504, 153001, 153486, 154000, 154449, 154969, 155436, 155915, 156350, 156824, 157308]",27,R,ITM,1.1,
2,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[163367, 163865, 164376, 164900, 165422, 165921, 166439, 166961, 167460, 167915, 168420, 168937, 169411, 169904, 170366, 170854, 171355, 171828, 172299, 172807, 173250, 173771, 174265]","[163432, 163962, 164455, 164989, 165502, 166025, 166516, 167032, 167526, 167996, 168499, 169007, 169481, 169975, 170435, 170928, 171427, 171895, 172370, 172872, 173316, 173835, 174333]","[162989, 163489, 163989, 164489, 164988, 165488, 165988, 166489, 166987, 167488, 167943, 168448, 168965, 169439, 169931, 170394, 170881, 171382, 171855, 172326, 172833, 173278, 173799, 174292]",27,R,ITM,1.1,
3,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[180249, 180718, 181242, 181749, 182236, 182747, 183275, 183744, 184244, 184738, 185202, 185691, 186152, 186658, 187140, 187596, 188108, 188559, 189010, 189487, 189981, 190445, 190914]","[180318, 180808, 181323, 181843, 182319, 182843, 183336, 183819, 184309, 184800, 185265, 185752, 186226, 186732, 187193, 187662, 188175, 188611, 189064, 189560, 190040, 190519, 190982]","[179860, 180359, 180859, 181359, 181859, 182360, 182859, 183359, 183770, 184269, 184764, 185228, 185716, 186178, 186684, 187165, 187622, 188134, 188584, 189036, 189512, 190007, 190471, 190940]",27,R,ITM,1.1,
6,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[196746, 197294, 197820, 198347, 198867, 199347, 199844, 200344, 200847, 201315, 201783, 202285, 202763, 203246, 203694, 204181, 204650, 205142, 205600, 206076, 206531, 207037, 207501]","[196816, 197376, 197938, 198425, 198947, 199433, 199926, 200424, 200906, 201401, 201838, 202345, 202825, 203307, 203756, 204223, 204702, 205195, 205642, 206136, 206592, 207099, 207560]","[196468, 196967, 197468, 197967, 198467, 198967, 199468, 199967, 200371, 200873, 201342, 201809, 202311, 202789, 203273, 203720, 204209, 204677, 205168, 205627, 206104, 206559, 207065, 207527]",27,R,ITM,1.1,
4,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[213195, 213708, 214232, 214768, 215247, 215768, 216271, 216780, 217298, 217780, 218254, 218747, 219224, 219707, 220179, 220710, 221209, 221686, 222155, 222652, 223118, 223633, 224097]","[213268, 213789, 214321, 214850, 215326, 215837, 216338, 216840, 217355, 217845, 218315, 218812, 219294, 219774, 220255, 220749, 221276, 221748, 222223, 222711, 223180, 223700, 224158]","[212891, 213391, 213892, 214391, 214891, 215391, 215891, 216391, 216806, 217324, 217805, 218280, 218773, 219249, 219732, 220205, 220737, 221235, 221712, 222181, 222678, 223143, 223659, 224123]",27,R,ITM,1.1,
5,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[230213, 230750, 231272, 231780, 232260, 232738, 233250, 233771, 234261, 234772, 235265, 235738, 236230, 236716, 237203, 237697, 238211, 238672, 239130, 239681, 240142, 240633, 241113]","[230294, 230836, 231348, 231868, 232338, 232834, 233345, 233856, 234327, 234843, 235318, 235801, 236306, 236787, 237282, 237763, 238271, 238738, 239199, 239736, 240200, 240696, 241186]","[229898, 230398, 230898, 231398, 231899, 232398, 232898, 233398, 233796, 234287, 234798, 235290, 235763, 236256, 236742, 237230, 237722, 238237, 238698, 239157, 239707, 240167, 240659, 241138]",27,R,ITM,1.1,
3,600,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[289953, 290574, 290894, 291381, 291996, 292591, 293229, 293804, 294373, 294973, 295599, 296166, 296778, 297326, 297907, 298527, 299101, 299760, 300329, 300913, 301518, 302103, 302696, 303282]","[290024, 290660, 290990, 291481, 292083, 292659, 293283, 293863, 294430, 295041, 295671, 296236, 296840, 297366, 297956, 298589, 299164, 299822, 300404, 301000, 301586, 302161, 302770, 303324]","[289675, 290275, 290875, 291475, 292075, 292675, 293275, 293875, 294398, 294999, 295624, 296192, 296804, 297352, 297932, 298553, 299126, 299786, 300355, 300939, 301544, 302129, 302722, 303307]",27,R,ITM,1.1,
2,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[309218, 309488, 310097, 310692, 311301, 311899, 312508, 313074, 313648, 314278, 314869, 315463, 316025, 316589, 317181, 317745, 318295, 318888, 319476, 320050, 320658, 321226, 321804, 322386]","[309304, 309588, 310218, 310795, 311384, 311977, 312594, 313162, 313731, 314377, 314962, 315527, 316116, 316666, 317252, 317824, 318362, 318966, 319556, 320119, 320704, 321308, 321888, 322464]","[308959, 309559, 310158, 310759, 311358, 311959, 312559, 313159, 313674, 314305, 314896, 315491, 316053, 316615, 317208, 317772, 318321, 318916, 319503, 320077, 320685, 321254, 321831, 322414]",27,R,ITM,1.1,
4,400,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[328337, 328649, 329204, 329583, 329985, 330409, 330826, 331229, 331595, 331960, 332340, 332789, 333151, 333559, 333933, 334313, 334734, 335091, 335498, 335880, 336292, 336709, 337105]","[328430, 328735, 329285, 329663, 330067, 330494, 330890, 331291, 331662, 332023, 332402, 332838, 333217, 333622, 333978, 334383, 334780, 335150, 335546, 335947, 336361, 336759, 337174]","[328145, 328544, 328944, 329345, 329744, 330144, 330545, 330944, 331254, 331621, 331985, 332365, 332815, 333176, 333586, 333959, 334339, 334759, 335117, 335523, 335905, 336318, 336735, 337132]",27,R,ITM,1.1,
3,400,trial,0,9,9,9,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[342899, 343189, 343504, 343828, 344235, 344623, 345010, 345371, 345784, 346212, 346605, 346999, 347396, 347832, 348211, 348597, 349031, 349415, 349799, 350202, 350607, 350992, 351398, 351783]","[342991, 343272, 343566, 343907, 344299, 344668, 345080, 345418, 345839, 346248, 346650, 347052, 347440, 347857, 348272, 348647, 349070, 349469, 349868, 350257, 350665, 351071, 351462, 351853]","[342681, 343080, 343480, 343880, 344281, 344680, 345080, 345480, 345809, 346237, 346631, 347025, 347421, 347857, 348236, 348622, 349057, 349441, 349825, 350228, 350632, 351017, 351424, 351809]",27,R,ITM,1.1,
5,400,trial,0,10,10,10,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[357772, 358136, 358561, 358993, 359343, 359766, 360192, 360573, 361042, 361420, 361810, 362171, 362568, 362975, 363375, 363764, 364172, 364574, 364972, 365372, 365748, 366166, 366570]","[357846, 358213, 358615, 359043, 359384, 359786, 360245, 360621, 361078, 361460, 361843, 362219, 362615, 363039, 363416, 363823, 364218, 364618, 365006, 365398, 365791, 366203, 366626]","[357454, 357854, 358254, 358654, 359054, 359454, 359855, 360254, 360599, 361068, 361446, 361836, 362196, 362594, 363000, 363401, 363790, 364198, 364601, 364997, 365398, 365774, 366191, 366597]",27,R,ITM,1.1,
6,600,trial,0,11,11,11,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[372268, 372676, 373095, 373731, 374334, 374971, 375531, 376119, 376663, 377285, 377884, 378430, 379039, 379621, 380173, 380784, 381324, 381964, 382536, 383038, 383651, 384229, 384736, 385292]","[372337, 372771, 373260, 373841, 374416, 375038, 375612, 376184, 376737, 377354, 377977, 378530, 379116, 379702, 380270, 380845, 381405, 382054, 382604, 383116, 383697, 384306, 384822, 385357]","[371972, 372571, 373171, 373771, 374371, 374971, 375571, 376171, 376690, 377312, 377912, 378457, 379066, 379648, 380199, 380811, 381350, 381990, 382563, 383065, 383679, 384256, 384762, 385319]",27,R,ITM,1.1,
5,400,trial,0,12,12,12,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[391120, 391532, 391959, 392391, 392782, 393165, 393572, 393965, 394382, 394757, 395165, 395557, 395934, 396324, 396709, 397094, 397508, 397892, 398277, 398696, 399141, 399520, 399917]","[391186, 391599, 392007, 392442, 392837, 393185, 393623, 394011, 394436, 394804, 395198, 395583, 395967, 396351, 396747, 397121, 397534, 397918, 398311, 398725, 399167, 399576, 399964]","[390875, 391274, 391674, 392074, 392474, 392875, 393274, 393674, 393991, 394407, 394782, 395191, 395583, 395960, 396351, 396735, 397121, 397534, 397918, 398303, 398722, 399167, 399546, 399943]",27,R,ITM,1.1,
2,600,trial,0,13,13,13,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[405614, 405958, 406500, 407073, 407665, 408233, 408841, 409454, 410012, 410594, 411172, 411739, 412297, 412860, 413454, 414018, 414514, 415147, 415703, 416227, 416769, 417277, 417857, 418391]","[405688, 406065, 406625, 407199, 407759, 408346, 408946, 409546, 410109, 410681, 411248, 411809, 412383, 412942, 413520, 414099, 414617, 415237, 415790, 416303, 416840, 417367, 417957, 418481]","[405346, 405946, 406546, 407146, 407746, 408346, 408946, 409546, 410039, 410621, 411199, 411765, 412324, 412888, 413481, 414046, 414540, 415173, 415729, 416254, 416795, 417305, 417884, 418418]",27,R,ITM,1.1,
7,600,trial,0,14,14,14,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[424485, 424848, 425303, 425908, 426500, 427053, 427684, 428306, 428892, 429516, 430135, 430672, 431286, 431861, 432466, 433086, 433606, 434226, 434785, 435318, 435844, 436364, 436882, 437465]","[424576, 424933, 425411, 425986, 426577, 427121, 427748, 428367, 428961, 429561, 430229, 430737, 431366, 431936, 432552, 433158, 433693, 434312, 434848, 435392, 435915, 436445, 436968, 437506]","[424178, 424777, 425377, 425977, 426577, 427177, 427778, 428378, 428919, 429543, 430161, 430700, 431312, 431889, 432494, 433113, 433633, 434253, 434812, 435345, 435871, 436391, 436909, 437491]",27,R,ITM,1.1,
3,600,trial,0,15,15,15,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[443414, 443662, 444269, 444865, 445465, 446071, 446679, 447245, 447856, 448444, 449045, 449611, 450241, 450790, 451381, 451981, 452511, 453154, 453745, 454293, 454900, 455481, 456031, 456512]","[443502, 443742, 444387, 444949, 445551, 446148, 446759, 447358, 447959, 448541, 449129, 449689, 450296, 450863, 451453, 452046, 452582, 453212, 453815, 454363, 454955, 455566, 456104, 456570]","[443204, 443803, 444403, 445003, 445603, 446203, 446803, 447404, 447882, 448470, 449071, 449637, 450267, 450816, 451406, 452006, 452537, 453180, 453771, 454319, 454926, 455506, 456056, 456538]",27,R,ITM,1.1,
5,600,trial,0,16,16,16,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[462606, 463050, 463380, 463981, 464589, 465172, 465767, 466383, 466995, 467590, 468163, 468744, 469312, 469896, 470502, 471095, 471666, 472308, 472929, 473512, 474080, 474659, 475228, 475832]","[462696, 463137, 463555, 464101, 464681, 465247, 465864, 466464, 467080, 467718, 468242, 468830, 469413, 470007, 470606, 471185, 471787, 472404, 473016, 473591, 474165, 474694, 475295, 475911]","[462264, 462864, 463464, 464064, 464664, 465264, 465864, 466464, 467020, 467615, 468189, 468769, 469338, 469921, 470528, 471120, 471692, 472334, 472954, 473538, 474105, 474685, 475253, 475858]",27,R,ITM,1.1,
4,600,trial,0,17,17,17,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[481780, 482150, 482596, 483203, 483783, 484375, 485006, 485630, 486217, 486857, 487516, 488132, 488751, 489335, 489913, 490501, 491136, 491703, 492288, 492884, 493458, 494032, 494626, 495179]","[481850, 482237, 482697, 483317, 483909, 484493, 485118, 485733, 486338, 486973, 487577, 488215, 488832, 489411, 489998, 490582, 491203, 491790, 492387, 492974, 493558, 494106, 494712, 495269]","[481494, 482094, 482694, 483293, 483893, 484493, 485093, 485693, 486243, 486883, 487542, 488158, 488776, 489361, 489938, 490527, 491161, 491728, 492313, 492910, 493485, 494058, 494652, 495205]",27,R,ITM,1.1,
6,400,trial,0,18,18,18,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[504478, 504727, 505005, 505361, 505752, 506129, 506515, 506946, 507337, 507764, 508169, 508561, 508963, 509342, 509719, 510137, 510501, 510947, 511352, 511736, 512122, 512513, 512950, 513368]","[504553, 504798, 505062, 505435, 505814, 506172, 506578, 507004, 507404, 507824, 508226, 508612, 509023, 509393, 509775, 510189, 510575, 511013, 511408, 511789, 512192, 512600, 513016, 513422]","[504205, 504604, 505005, 505404, 505804, 506205, 506604, 507004, 507365, 507791, 508195, 508588, 508990, 509370, 509746, 510163, 510528, 510973, 511379, 511763, 512150, 512539, 512976, 513395]",27,R,ITM,1.1,
