octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version
,,SPR,0,-1,-1,0,"[b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P']","[674.6190416193452, 675.1146065332006, 675.5815068073786, 676.0361644529871, 676.4989833790886, 677.0068114485848, 677.4573187326869, 677.9078444203703, 678.3952264649163, 678.8867118002702, 679.3413213134353, 679.8532788634515, 680.3283754557099, 680.8157794429873, 681.2827030755569, 681.741386150668, 682.2206738046608, 682.7120501341869, 683.1380116416808, 683.6130962008284, 684.1004768297141, 684.5633056654364, 685.0301985073987, 685.4889304227834, 685.9435724961309, 686.4063514298344, 686.8855608686066, 687.331970524541, 687.8193196549895, 688.2493713584356]","[674.6394879982106, 675.1309768727148, 675.5978640520368, 676.0362009062349, 676.4990619482244, 677.0190731885656, 677.4818836207064, 677.9282982314512, 678.4361921291422, 678.9071857845075, 679.3904620608402, 679.8696722074424, 680.3488416538166, 680.8362353775583, 681.2990426244639, 681.7577444570713, 682.2369556654187, 682.7284289676617, 683.1871375246546, 683.6499394628348, 684.116855309274, 684.5796745892904, 685.0465805261089, 685.5052749265006, 685.9599120450378, 686.4431723951942, 686.9059994613414, 687.348323168304, 687.8357045050197, 688.2657639945965]",,5,R,ITM,1
7,500,practice,0,0,0,0,"['S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[766.1406812227198, 766.652652929337, 767.135934514395, 767.6314994282503, 768.1270671734258, 768.6308269897014, 769.1223165720357, 769.613794121259, 770.0725143574479, 770.5639773961551, 771.0513813834326, 771.534641379674, 772.0220481982717, 772.4807723275258, 772.9435820518365, 773.4432357459839, 773.9551915264249, 774.4507709507963, 774.9463305559262, 775.4296347915458, 775.9252053680416]","[766.1897989656479, 766.6773002795575, 767.176929553568, 767.6642535560497, 768.1475294784673, 768.659494460699, 769.1469087115122, 769.638405372147, 770.1011892606609, 770.5926441593226, 771.0800828302727, 771.5592384739609, 772.0466449386436, 772.5094305967326, 772.9722658029252, 773.4719021552363, 773.9797900363718, 774.4794338208985, 774.9750461593673, 775.4583079251838, 775.9498282981252]","[764.6744371069994, 765.1741116821333, 765.6778768071343, 766.1775237768962, 766.6772489618787, 767.1768711575888, 767.6765372387621, 768.1762234930918, 768.655392939466, 769.1468835835453, 769.6383459144226, 770.0970728749969, 770.5885436998348, 771.0800251421234, 771.5592154694842, 772.0466028227555, 772.5094068844259, 772.9722247487823, 773.4677935557029, 773.9797571222745, 774.4753319457504, 774.9750217392304, 775.4582849207071, 775.9497865361523]",5,R,ITM,1
2,500,practice,0,1,1,1,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[782.5151325217118, 783.0271070596492, 783.5185570035005, 784.0550999686077, 784.5465633612301, 785.0380727628058, 785.5582025646806, 786.0988134290933, 786.2216860016343, 786.5902909783167, 787.0613147164592, 787.5241283338353, 788.0442751236313, 788.5521300906695, 789.0231446270213, 789.5392068835057, 790.0347664886356, 790.5139497376958, 791.0341028979624, 791.5091775474892, 791.9679218498997, 792.5126629026624, 793.0450576297532]","[782.5684130131724, 783.051635494421, 783.5431240150102, 784.1083210023439, 784.6489555790633, 785.2141628299329, 785.7629654115307, 786.1234597175687, 786.2339753469871, 786.7254405091846, 787.1637083499526, 787.6469874576054, 788.1548923266622, 788.6012733154795, 789.0845510074722, 789.5638039777925, 790.1125708139728, 790.5385652355641, 791.0586999922492, 791.554215358001, 792.0498273425547, 792.5372670752498, 793.0697180748297]","[781.5690734186103, 782.0687108326665, 782.5683553250232, 783.0680327314773, 783.5676977509054, 784.0673719721242, 784.5670415924477, 785.06669422485, 785.5827770084059, 786.12340839989, 786.6149199249559, 787.0859132264062, 787.5486914522797, 788.0688969919701, 788.5766988717543, 789.0476939427797, 789.5637636314796, 790.0593274835899, 790.5385121483102, 791.0586603537664, 791.5337420815937, 791.9924881535793, 792.5372168193161, 793.0696660493209]",5,R,ITM,1
5,500,practice,0,2,2,2,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[799.3319216842674, 799.831578917565, 800.2943751931049, 800.8063479614672, 801.3100943289718, 801.8138668861884, 802.3135584492435, 802.7968308325108, 803.3087816581415, 803.7756875949598, 804.267203367006, 804.803715895421, 805.282910469762, 805.4057635769767, 805.7538966929118, 806.2453632707694, 806.7205094111314, 807.2201592122135, 807.6829452242175, 808.1744397613621, 808.6700138770082, 809.1328317413646, 809.6079138231069]","[799.3523510752116, 799.8520376834563, 800.3476117991023, 800.896440924327, 801.4821235750939, 801.9490316354024, 802.4364193425887, 802.9524589485114, 803.4357479657849, 803.9436415095608, 804.4351250753397, 804.889697073512, 805.3075234902251, 805.413944676711, 805.8726525258738, 806.3313819638532, 806.7860066953644, 807.2447120671221, 807.7443862883409, 808.2522667372609, 808.7437234054978, 809.1860502976956, 809.6652452259517]","[798.3694883485865, 798.8691006346758, 799.3687493740129, 799.8684381057477, 800.368077643294, 800.8677713298392, 801.3674359953524, 801.8711912107327, 802.3381282920733, 802.8213812100142, 803.3333582253568, 803.8002542525545, 804.2917381722483, 804.8283363480995, 805.3074728803764, 805.7784654739967, 806.2699331135993, 806.7450597886349, 807.2406101919742, 807.7075727551967, 808.1990120815973, 808.690468042004, 809.1573867197634, 809.6283824986189]",5,R,ITM,1
3,500,practice,0,3,3,3,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[815.4115044326087, 815.9070583750982, 816.4067396746176, 816.9023070658781, 817.4060534333828, 817.9180152303792, 818.4135861607899, 818.5323996819012, 818.9296738991561, 819.4416024281402, 819.9125974991656, 820.4286756818261, 820.940614828261, 821.4402791398591, 821.9604337157857, 822.4355221679986, 822.9556732047748, 823.4635384353487, 823.9509155250843, 824.4383039401006, 824.9297878597945, 825.4212877056644, 825.9537107459573, 826.4574610065273]","[815.4319472723238, 816.0462719122064, 816.5828400052804, 817.0947876456759, 817.594451603359, 818.1227862172748, 818.4299759656307, 818.5774003313353, 819.0197254539579, 819.5398754289893, 820.100997438717, 820.588354355296, 821.096249668647, 821.5098942254162, 822.0669051582054, 822.5420095365943, 823.0990317946641, 823.5863940199686, 824.061490612227, 824.5570604808927, 825.0690123682684, 825.5768945867635, 826.1216108654744, 826.5926073521599]","[814.9487074492389, 815.4442263541408, 815.9479939565471, 816.4476681777659, 816.9473455842199, 817.447022636759, 817.9466625282203, 818.4463940836733, 818.9501185084464, 819.4620629636065, 819.937160263695, 820.453232075885, 820.9651701605748, 821.4648429661336, 821.980894251252, 822.4559819956348, 822.9802451710949, 823.4840010943053, 823.9754860757441, 824.462895371747, 824.954339299043, 825.4458373753379, 825.9782689095913, 826.4820496068535]",5,R,ITM,1
6,500,practice,0,4,4,4,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[832.203690130407, 832.7770586617694, 833.2480742598664, 833.7600204846017, 834.2924601589008, 834.4071403064268, 834.8003565339969, 834.9191268774749, 835.2999882854126, 835.828384480543, 836.3116451846145, 836.8112925082913, 837.3273745840171, 837.8188231122084, 838.3143954582793, 838.7977053565393, 839.2686869787938, 839.8052256969206, 840.2803091943231, 840.7595161556901, 841.2755777043443, 841.7383700868189, 842.2380538637434, 842.7090453956187, 843.1923383059574]","[832.4043433159785, 832.9408961907064, 833.4241816688296, 833.9566117874231, 834.3088471324212, 834.452184841324, 834.8167038690344, 834.9436804402137, 835.4556185249035, 835.918425771809, 836.4959152897308, 836.9751339302936, 837.4911664579158, 837.94989412632, 838.4454969090831, 838.949218148621, 839.4611845465128, 839.9567526456033, 840.4441431841097, 840.9397236702263, 841.4434902108874, 841.8858089630396, 842.3363105845012, 842.860582961752, 843.3152069854332]","[831.8309995586679, 832.3306790886122, 832.8303083626228, 833.329975505541, 833.8296476032698, 834.329314038358, 834.8289932143872, 835.3286486781096, 835.8528980508838, 836.3361842368371, 836.8358542110757, 837.3519217762854, 837.8434039264041, 838.3389667167693, 838.822245470507, 839.2932610686039, 839.829788815365, 840.3048786832379, 840.7840821054547, 841.300130205338, 841.7629349748385, 842.2626484806251, 842.7336230245791, 843.2169106261924]",5,R,ITM,1
4,500,practice,0,5,5,5,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[849.2293422453856, 849.331736232794, 849.778153674859, 849.901012090799, 850.2737189426293, 850.3884061684557, 850.7938855516668, 851.2894444489667, 851.7891126536301, 852.2928781325461, 852.4116527230045, 852.8171193652746, 853.3291190311788, 853.7959796668739, 854.3407334605776, 854.7953288171417, 855.3113871805607, 855.7946853996249, 856.2943334311318, 856.7858307995966, 857.3100851271811, 857.7687975772393, 858.2807611438109, 858.7107955054207, 859.1981814430319, 859.7265210117581, 860.1975210375939]","[849.229375867313, 849.364471957012, 849.7986127946652, 849.9296898253323, 850.2901059161497, 850.4539593712628, 850.9700032241659, 851.4696693053392, 851.9324751365847, 852.313414405828, 852.4894740362629, 852.9850754033658, 853.4314857671303, 853.9966845240391, 854.5045426763126, 855.0042154818713, 855.4956725040231, 855.9667057978713, 856.4827832727018, 856.9537811750474, 857.4124539866227, 857.8793631086763, 858.4159184608094, 858.9278774264857, 859.39479645816, 859.8576210469018, 860.3941183569707]","[848.81161704837, 849.3112314579494, 849.8109361158605, 850.3105837934523, 850.8143414862378, 851.3140454363188, 851.8136853277801, 852.3133645038093, 852.8416838993792, 853.3536679930222, 853.8205452627235, 854.3652728667153, 854.819904676527, 855.3318530247525, 855.8192623207553, 856.3189011504716, 856.8103960415312, 857.3346666492068, 857.7933571565334, 858.3053175378698, 858.7353812744268, 859.222741730156, 859.7510837762875, 860.2220862795284]",5,R,ITM,1
3,400,trial,0,6,6,6,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[909.5338316220952, 909.9311015923698, 910.2219047211203, 910.5741361730531, 910.9755189898416, 911.3891738101465, 911.7946344358612, 912.1796246164888, 912.5605214159291, 912.9619148501683, 913.3346061297375, 913.7278489009345, 914.0923190883715, 914.4978296161048, 914.8909541796834, 915.2718474399734, 915.6650463257073, 916.0418511596203, 916.4228176803206, 916.8199998796689, 917.1681574157408, 917.6104995262847, 917.9790960090064]","[909.660802176719, 910.0007347275933, 910.2956326531912, 910.7010932789059, 911.0820084819275, 911.4956601169972, 911.913441586502, 912.2984222114238, 912.6833908032349, 913.0356112838019, 913.3592032240243, 913.8055902293971, 914.1742263506017, 914.5469052431449, 914.9401097915193, 915.3250957251665, 915.6896561609351, 916.1155585646197, 916.4718773811845, 916.8446259949878, 917.2459606793328, 917.6514319224983, 918.0323145653375]","[909.054649080865, 909.4560241115229, 909.8533344281104, 910.2546595567497, 910.6560508674988, 911.0533388874398, 911.4546859588106, 911.8560758538996, 912.2000943537458, 912.5850873656937, 912.9864836312531, 913.3591798656327, 913.7523585782101, 914.1169034417175, 914.518246266108, 914.9155441956697, 915.2964190523784, 915.6896228929227, 916.0664082615092, 916.4472933817536, 916.8445768007992, 917.1927824693147, 917.6309639548164, 918.0036916876331]",5,R,ITM,1
4,600,trial,0,7,7,7,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[923.8850151316369, 924.6099555588902, 925.2406894689399, 925.826388399798, 926.4284509457848, 927.0509881838391, 927.62846779214, 928.205947046526, 928.8326045633096, 929.401886083955, 929.9998800228063, 930.5855761223442, 931.1671084116045, 931.7978334737786, 932.309806949971, 932.8955313627109, 933.4647739527035, 934.0177003521809, 934.5828955699394, 935.2136238173487, 935.7911112117803, 936.3849944276079, 936.946092725029]","[923.9505669187839, 924.8474990771666, 925.4946617227097, 926.084396346606, 926.7110372293834, 927.2926158815121, 927.8701174325447, 928.4762599109479, 929.0578619214684, 929.6353486080699, 930.2456028712418, 930.8599285728695, 931.4538206365728, 932.0435970224421, 932.6128615551663, 933.1657900781338, 933.6982421394588, 934.3043626751304, 934.8695787738756, 935.4552723960082, 936.0860034747377, 936.6471017721587]","[923.4959705004748, 924.093935772209, 924.6959756676341, 925.2939742073808, 925.8960374611977, 926.4939931772261, 927.0960302413312, 927.6940277193327, 928.2305129962906, 928.8530640370309, 929.4264456632492, 930.0243985479574, 930.6100907544301, 931.1916842709899, 931.8183258615973, 932.3343750232257, 932.9200463487118, 933.4893413181283, 934.0423091256636, 934.6074976190366, 935.2381894131983, 935.8156824702703, 936.4095426816212, 936.97067884795]",5,R,ITM,1
4,600,trial,0,8,8,8,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[943.2370239710186, 943.8677451401273, 944.4984610005107, 945.0800665501814, 945.6739267615324, 945.7886008925029, 946.2678067921248, 946.3824872935658, 946.9082308955784, 947.0214143364607, 947.4883245202593, 948.1026792429192, 948.6965263594142, 949.3027134311106, 949.929326708516, 950.5314023493587, 951.1293626662825, 951.7068525381193, 952.3170990151607, 952.9642266231162, 953.5498993642624, 954.1028165619491, 954.6925894086681, 955.3151638078001, 955.8844286944393, 956.5151710984496]","[943.5114418958237, 944.142156694462, 944.7237505649368, 945.3626556651001, 945.686200888539, 945.9565254321568, 946.2841916421551, 946.5790888599229, 946.9231137302396, 947.1565504185576, 947.7586225202501, 948.3197232950763, 948.9094954339653, 949.5975685329904, 950.1832649864433, 950.8098917126196, 951.395567639001, 951.9812545367482, 952.6037861121621, 953.2304323036648, 953.8365719507477, 954.3854099238481, 954.9915555874866, 955.5731929895096, 956.1711501211983, 956.7404001434064]","[942.7169047865946, 943.3148290041858, 943.9169085380938, 944.5148479740311, 945.1169214913838, 945.7148934875034, 946.3169549717452, 946.9149407705509, 947.5128855152136, 948.1231433175358, 948.7210993874793, 949.3231665343615, 949.9539439759593, 950.5559799783192, 951.1539742710854, 951.7313951294922, 952.3375779542083, 952.9887819554301, 953.5744755775628, 954.1232827600559, 954.7171652680535, 955.3396883495067, 955.9089889815635, 956.5397090889271]",5,R,ITM,1
