octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[38061, 38750, 39417, 40016, 40717, 41379, 42054, 42753, 43407, 44085, 44805, 45476, 46113, 46775, 47452, 48160, 48843, 49470, 50154, 50831, 51489, 52124, 52725, 53430, 54074, 54722, 55335, 55950, 56625, 57243]","[38256, 38919, 39566, 40183, 40847, 41501, 42160, 42845, 43561, 44226, 44935, 45566, 46204, 46888, 47569, 48296, 48989, 49586, 50270, 50921, 51611, 52273, 52842, 53555, 54196, 54828, 55462, 56083, 56733, 57344]",,24,R,ITM,1.1,
6,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[114345, 114972, 115508, 115991, 116478, 116948, 117412, 117912, 118431, 118914, 119410, 119868, 120376, 120876, 121353, 121830, 122322, 122784, 123262, 123764, 124229, 124749, 125247]","[114524, 115116, 115636, 116130, 116604, 117074, 117554, 118064, 118547, 119028, 119519, 119994, 120485, 120973, 121447, 121949, 122425, 122882, 123350, 123846, 124332, 124848, 125351]","[114006, 114504, 115004, 115505, 116004, 116504, 117004, 117505, 117940, 118459, 118940, 119437, 119895, 120403, 120903, 121380, 121857, 122350, 122812, 123289, 123791, 124256, 124776, 125274]",24,R,ITM,1.1,
7,500,practice,0,1,1,1,practice,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[130864, 131299, 131785, 132286, 132795, 133299, 133840, 134313, 134829, 135302, 135837, 136325, 136776, 137311, 137823, 138301, 138762, 139238, 139781, 140233, 140679, 141202, 141721, 142226]","[131019, 131465, 131939, 132435, 132947, 133472, 133999, 134449, 134963, 135461, 135961, 136457, 136944, 137490, 137946, 138411, 138878, 139368, 139859, 140386, 140843, 141369, 141874, 142376]","[130877, 131377, 131876, 132376, 132876, 133377, 133876, 134376, 134856, 135328, 135864, 136351, 136804, 137337, 137850, 138329, 138789, 139266, 139808, 140260, 140705, 141229, 141749, 142254]",24,R,ITM,1.1,
3,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[148268, 148689, 149182, 149703, 150222, 150729, 151216, 151738, 152241, 152712, 153252, 153722, 154208, 154691, 155181, 155692, 156190, 156668, 157157, 157646, 158141, 158655, 159127]","[148378, 148861, 149356, 149863, 150355, 150855, 151343, 151863, 152367, 152834, 153376, 153856, 154340, 154816, 155325, 155825, 156322, 156791, 157281, 157778, 158247, 158769, 159240]","[147815, 148315, 148814, 149314, 149814, 150315, 150814, 151314, 151763, 152266, 152737, 153278, 153748, 154233, 154717, 155206, 155717, 156216, 156694, 157182, 157672, 158167, 158681, 159154]",24,R,ITM,1.1,
2,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[164907, 165190, 165658, 166148, 166635, 167121, 167626, 168162, 168610, 169138, 169635, 170153, 170647, 171146, 171672, 172180, 172705, 173214, 173693, 174224, 174736, 175225, 175770, 176262]","[165023, 165342, 165796, 166274, 166757, 167221, 167748, 168268, 168748, 169288, 169777, 170287, 170797, 171305, 171863, 172355, 172857, 173371, 173865, 174398, 174875, 175427, 175911, 176407]","[164701, 165200, 165700, 166200, 166700, 167199, 167700, 168200, 168638, 169164, 169663, 170181, 170675, 171172, 171699, 172207, 172732, 173241, 173721, 174251, 174764, 175252, 175798, 176288]",24,R,ITM,1.1,
5,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[182167, 182536, 182958, 183418, 183921, 184428, 184951, 185430, 185953, 186444, 186959, 187447, 187934, 188434, 188931, 189431, 189938, 190359, 190865, 191353, 191845, 192369, 192849, 193382]","[182293, 182659, 183084, 183556, 184076, 184594, 185046, 185540, 186077, 186577, 187060, 187565, 188055, 188566, 189046, 189536, 190030, 190468, 190966, 191462, 191961, 192475, 192965, 193479]","[181992, 182492, 182991, 183491, 183991, 184492, 184991, 185491, 185979, 186470, 186985, 187472, 187960, 188460, 188956, 189457, 189965, 190385, 190892, 191380, 191872, 192395, 192875, 193409]",24,R,ITM,1.1,
4,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[199398, 199703, 200144, 200631, 201113, 201613, 202120, 202654, 203155, 203661, 204139, 204612, 205134, 205642, 206159, 206678, 207185, 207664, 208193, 208714, 209234, 209775, 210253, 210708]","[199487, 199826, 200271, 200760, 201234, 201761, 202265, 202795, 203305, 203823, 204281, 204782, 205286, 205791, 206325, 206853, 207349, 207846, 208373, 208896, 209430, 209892, 210393, 210860]","[199198, 199697, 200198, 200697, 201197, 201697, 202198, 202697, 203181, 203686, 204165, 204638, 205160, 205668, 206185, 206703, 207211, 207689, 208219, 208740, 209260, 209802, 210280, 210734]",24,R,ITM,1.1,
5,600,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[249899, 250231, 250822, 251475, 252167, 252775, 253358, 253971, 254532, 255074, 255669, 256262, 256823, 257406, 257968, 258577, 259145, 259730, 260297, 260857, 261465, 262018, 262574, 263158]","[250044, 250383, 250972, 251654, 252313, 252924, 253488, 254127, 254646, 255191, 255780, 256369, 256949, 257519, 258108, 258708, 259283, 259889, 260431, 260986, 261588, 262165, 262701, 263278]","[249768, 250368, 250968, 251568, 252167, 252767, 253367, 253967, 254558, 255099, 255694, 256287, 256848, 257432, 257993, 258603, 259172, 259756, 260324, 260883, 261490, 262043, 262599, 263185]",24,R,ITM,1.1,
5,400,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[269077, 269489, 270034, 270428, 270838, 271270, 271666, 272073, 272460, 272838, 273265, 273654, 274025, 274429, 274861, 275247, 275622, 276020, 276383, 276807, 277186, 277560, 277967]","[269188, 269609, 270131, 270531, 270949, 271363, 271761, 272162, 272542, 272935, 273348, 273774, 274147, 274545, 274940, 275352, 275719, 276107, 276485, 276912, 277299, 277677, 278078]","[268930, 269329, 269729, 270130, 270530, 270930, 271330, 271730, 272099, 272486, 272864, 273291, 273680, 274051, 274455, 274886, 275273, 275648, 276046, 276409, 276833, 277212, 277585, 277993]",24,R,ITM,1.1,
2,400,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[283696, 284078, 284587, 285048, 285449, 285877, 286260, 286665, 287084, 287466, 287855, 288261, 288628, 289019, 289392, 289824, 290222, 290619, 290970, 291387, 291785, 292167, 292597]","[283790, 284186, 284686, 285136, 285536, 285926, 286337, 286770, 287171, 287552, 287949, 288333, 288704, 289107, 289490, 289886, 290320, 290686, 291065, 291484, 291888, 292289, 292695]","[283536, 283935, 284337, 284735, 285136, 285536, 285936, 286337, 286693, 287111, 287494, 287882, 288287, 288656, 289047, 289420, 289852, 290249, 290646, 290997, 291414, 291812, 292195, 292625]",24,R,ITM,1.1,
