octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[43842, 45492, 49846, 50704, 51526, 52262, 53106, 53963, 54872, 55699, 55799, 56604, 57447, 58423, 59382, 60192, 61028, 61874, 62666, 63645, 64439, 65304, 66157, 67104, 67953, 68787, 69579, 70478, 71462, 72406]","[44611, 49209, 50025, 50904, 51736, 52419, 53327, 54197, 55019, 55719, 55888, 56809, 57630, 58609, 59594, 60374, 61214, 62060, 62883, 63756, 64661, 65523, 66468, 67369, 68222, 69081, 69987, 70891, 71896, 72823]",,18,R,ITM,1.1,
6,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[138247, 139151, 139685, 140153, 140631, 141120, 141581, 142101, 142557, 143059, 143534, 143962, 144430, 144904, 145380, 145818, 146245, 146738, 147189, 147676, 148153, 148616, 149142]","[138510, 139312, 139824, 140291, 140694, 141184, 141631, 142141, 142626, 143105, 143585, 144015, 144482, 144950, 145416, 145871, 146301, 146791, 147235, 147715, 148199, 148662, 149194]","[138195, 138694, 139194, 139695, 140194, 140694, 141194, 141694, 142129, 142583, 143086, 143561, 143988, 144456, 144931, 145406, 145845, 146272, 146764, 147217, 147702, 148180, 148642, 149169]",18,R,ITM,1.1,
5,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[154648, 154979, 155418, 155897, 156409, 156907, 157394, 157892, 158440, 158922, 159420, 159888, 160390, 160862, 161390, 161872, 162402, 162857, 163365, 163843, 164391, 164879, 165369, 165877]","[154714, 155049, 155474, 155950, 156464, 156947, 157447, 157939, 158497, 158983, 159482, 159927, 160455, 160913, 161445, 161921, 162465, 162928, 163434, 163918, 164459, 164946, 165431, 165944]","[154503, 155001, 155501, 156001, 156502, 157001, 157501, 158002, 158467, 158949, 159446, 159913, 160416, 160887, 161417, 161898, 162427, 162883, 163391, 163868, 164417, 164904, 165395, 165904]",18,R,ITM,1.1,
2,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[171572, 171949, 172425, 172891, 173381, 173877, 174374, 174870, 175379, 175893, 176365, 176894, 177383, 177912, 178439, 178948, 179470, 179983, 180486, 180975, 181545, 182029, 182545, 183031]","[171639, 172049, 172489, 172954, 173441, 173930, 174444, 174935, 175448, 175953, 176424, 176960, 177434, 177976, 178515, 179012, 179536, 180056, 180562, 181062, 181608, 182109, 182600, 183101]","[171424, 171924, 172425, 172924, 173425, 173924, 174426, 174925, 175406, 175921, 176393, 176920, 177411, 177940, 178466, 178975, 179497, 180009, 180513, 181002, 181573, 182056, 182573, 183058]",18,R,ITM,1.1,
7,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[188700, 189094, 189511, 189970, 190497, 190982, 191493, 191950, 192479, 193032, 193497, 194017, 194481, 194975, 195464, 195950, 196482, 196968, 197449, 197946, 198462, 198892, 199380, 199905]","[188766, 189166, 189552, 190028, 190532, 191024, 191543, 192002, 192530, 193103, 193568, 194076, 194541, 195045, 195538, 196014, 196533, 197023, 197512, 198017, 198525, 198963, 199446, 199979]","[188553, 189052, 189552, 190052, 190553, 191052, 191552, 192052, 192505, 193059, 193524, 194044, 194508, 195003, 195491, 195978, 196509, 196996, 197476, 197972, 198490, 198919, 199407, 199931]",18,R,ITM,1.1,
3,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[205834, 206192, 206656, 207138, 207629, 208130, 208692, 209144, 209645, 210230, 210689, 211187, 211708, 212202, 212659, 212764, 213170, 213660, 214214, 214685, 215152, 215691, 216232, 216697, 217177]","[205895, 206247, 206693, 207198, 207692, 208174, 208736, 209222, 209700, 210265, 210740, 211241, 211771, 212251, 212684, 212784, 213225, 213731, 214261, 214726, 215226, 215727, 216281, 216741, 217236]","[205693, 206192, 206692, 207193, 207692, 208192, 208692, 209192, 209671, 210255, 210714, 211213, 211734, 212228, 212684, 213195, 213686, 214240, 214711, 215178, 215716, 216258, 216723, 217202]",18,R,ITM,1.1,
4,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[222993, 223330, 223761, 224247, 224789, 225292, 225780, 226267, 226791, 227255, 227776, 228242, 228768, 229262, 229795, 230259, 230752, 231262, 231728, 232240, 232727, 233218, 233732, 234208]","[223027, 223382, 223827, 224299, 224809, 225361, 225800, 226287, 226845, 227301, 227832, 228340, 228816, 229329, 229852, 230337, 230822, 231303, 231817, 232294, 232770, 233275, 233801, 234281]","[222826, 223325, 223825, 224325, 224825, 225326, 225825, 226325, 226817, 227280, 227802, 228268, 228794, 229287, 229821, 230285, 230777, 231287, 231753, 232266, 232753, 233243, 233757, 234233]",18,R,ITM,1.1,
2,600,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[289722, 290099, 290583, 291181, 291805, 292440, 293002, 293653, 294288, 294881, 295456, 296046, 296596, 297201, 297786, 298358, 298961, 299541, 300204, 300743, 301357, 301906, 302466, 303017]","[289796, 290158, 290637, 291230, 291856, 292509, 293103, 293728, 294361, 294937, 295516, 296111, 296665, 297261, 297850, 298444, 299048, 299633, 300264, 300827, 301434, 302007, 302584, 303134]","[289569, 290169, 290769, 291368, 291970, 292570, 293170, 293769, 294316, 294908, 295484, 296073, 296624, 297229, 297814, 298386, 298988, 299568, 300230, 300771, 301383, 301934, 302493, 303045]",18,R,ITM,1.1,
7,400,trial,0,7,7,7,trial,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[308346, 308803, 309251, 309588, 309927, 310282, 310697, 311109, 311528, 311913, 312293, 312658, 313035, 313434, 313838, 314243, 314621, 315034, 315474, 315853, 316225, 316645, 317041, 317463]","[308366, 308922, 309327, 309647, 309966, 310329, 310738, 311158, 311568, 311949, 312324, 312707, 313111, 313474, 313895, 314306, 314682, 315079, 315513, 315909, 316284, 316692, 317089, 317499]","[308360, 308758, 309158, 309558, 309958, 310359, 310758, 311158, 311556, 311940, 312321, 312685, 313062, 313461, 313865, 314270, 314648, 315062, 315501, 315880, 316252, 316673, 317068, 317491]",18,R,ITM,1.1,
4,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[323270, 323521, 323999, 324690, 325382, 325985, 326624, 327197, 327815, 328413, 328981, 329593, 330169, 330728, 331318, 331889, 332477, 333058, 333648, 334221, 334809, 335368, 335943, 336512]","[323324, 323597, 324058, 324772, 325463, 326105, 326644, 327308, 327922, 328489, 329101, 329655, 330257, 330853, 331417, 331975, 332577, 333182, 333776, 334359, 334989, 335479, 336098, 336628]","[323063, 323662, 324262, 324862, 325463, 326063, 326663, 327263, 327840, 328438, 329008, 329619, 330194, 330754, 331343, 331915, 332503, 333084, 333674, 334246, 334834, 335393, 335969, 336537]",18,R,ITM,1.1,
