octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version
,,SPR,0,-1,-1,0,"[b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P', b'P']","[4417.126607083892, 4417.6590233997995, 4418.240602051928, 4418.883620706436, 4419.526634406132, 4420.136887961474, 4420.726669302154, 4421.340998189017, 4421.918484875619, 4422.573793937223, 4423.106263340384, 4423.6468554473, 4424.150652070739, 4424.613467811605, 4425.190951666887, 4425.768459588389, 4426.333634986907, 4426.8783618830685, 4427.423060466028, 4428.021048034409, 4428.561671993678, 4429.077710537856, 4429.647021079533, 4430.158953855497, 4430.666838905313, 4431.244352489456, 4431.7399046623705, 4432.268273606043, 4432.788411547964, 4433.320887675511]","[4417.282233076403, 4417.740907303638, 4418.322493741897, 4418.957311477428, 4419.600327300615, 4420.21879557762, 4420.820869448887, 4421.431106370223, 4422.0085916411645, 4422.663890793148, 4423.208622644121, 4423.724685608435, 4424.236645635856, 4424.715829592747, 4425.29740152049, 4425.862599569568, 4426.4441920243835, 4426.9889256449305, 4427.521391155026, 4428.107038060376, 4428.659944994527, 4429.180094261728, 4429.76990887042, 4430.265461397249, 4430.781498879682, 4431.34669409744, 4431.850484350409, 4432.366523602416, 4432.886668622637, 4433.435483945175]",,6,R,ITM,1
2,500,practice,0,0,0,0,"['S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[4493.031457383146, 4493.477898537517, 4493.96117198253, 4494.358460002471, 4494.767994544046, 4495.267681506206, 4495.714120183172, 4496.176945125829, 4496.619249721381, 4497.086211576773, 4497.528495645252, 4497.999506288539, 4498.4213492868785, 4498.863682903462, 4499.289617513415, 4499.736071762642, 4500.170201628929, 4500.620733333169, 4501.034382490832, 4501.480817274734, 4501.902653902604]","[4493.125653636813, 4493.551595325066, 4494.030801578602, 4494.43216528398, 4494.845870360218, 4495.337302254404, 4495.783715449488, 4496.246548178276, 4496.688916478532, 4497.1557827768665, 4497.594025135753, 4498.069094122639, 4498.482782918787, 4498.916897566728, 4499.355163637921, 4499.797493361439, 4500.227515689938, 4500.678065797758, 4501.099887561197, 4501.550408647984, 4501.988666579132]","[4491.311331261987, 4491.810941070671, 4492.310627678916, 4492.814383602126, 4493.31406596339, 4493.8137419541845, 4494.313388570031, 4494.8130344780475, 4495.288224503873, 4495.738686840767, 4496.2014962111625, 4496.643832659066, 4497.1107350567345, 4497.553049915821, 4498.024051003402, 4498.445902141788, 4498.888243544501, 4499.314183463179, 4499.76061824708, 4500.194755545583, 4500.645267076666, 4501.058939592722, 4501.505355973041, 4501.927232239394]",6,R,ITM,1
3,500,practice,0,1,1,1,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[4507.480975120836, 4508.025649283658, 4508.562195787916, 4509.119233972162, 4509.704884770576, 4510.2455260716815, 4510.732919087593, 4511.2161801455795, 4511.678995886446, 4512.129560504782, 4512.575954588455, 4513.026471428263, 4513.436065427563, 4513.845653764222, 4514.255166716982, 4514.648359940075, 4515.053829413666, 4515.430678840871, 4515.819721702459, 4516.184238252764, 4516.606070987568, 4516.958308102141, 4517.326909893588]","[4507.501426454511, 4508.091203194295, 4508.640013562023, 4509.197038297499, 4509.766351670497, 4510.319246217622, 4510.806678872016, 4511.302173002867, 4511.752714616726, 4512.207318821165, 4512.657856895875, 4513.100167861897, 4513.501559880476, 4513.923421282397, 4514.316611320255, 4514.713911727222, 4515.119340500584, 4515.5002390696, 4515.905712082341, 4516.266108707831, 4516.659316441441, 4517.036115612714, 4517.4088741361375]","[4507.304903103374, 4507.804500171118, 4508.304177931487, 4508.803859231007, 4509.303499476383, 4509.803200949059, 4510.3069943872615, 4510.806621537782, 4511.240739370958, 4511.703594396393, 4512.154076906443, 4512.600540711376, 4513.051037731942, 4513.456510390768, 4513.870149992727, 4514.279734082406, 4514.672907840173, 4515.078369527633, 4515.455180378101, 4515.844280927838, 4516.208802432953, 4516.630633752097, 4516.982870512756, 4517.347392371787]",6,R,ITM,1
7,500,practice,0,2,2,2,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[4523.454042895209, 4523.9578012958245, 4524.457469854403, 4524.98988475465, 4525.518239895638, 4526.009728770142, 4526.525783948326, 4526.992720321836, 4527.4227079666625, 4527.856871100962, 4528.295104258058, 4528.680079928169, 4529.0609834519955, 4529.462356005248, 4529.806390785186, 4530.162714910475, 4530.486315698573, 4530.805728610172, 4531.100647062842, 4531.358639437389, 4531.559340401488, 4531.964809875079, 4532.3497979322165, 4532.767629657655]","[4523.540061588293, 4524.039817563883, 4524.551657968025, 4525.075893892028, 4525.600144680462, 4526.099863141059, 4526.62405730309, 4527.078705746908, 4527.516915191696, 4527.942860419099, 4528.377003734157, 4528.786578975961, 4529.146994005034, 4529.552458877728, 4529.916979675014, 4530.248710245168, 4530.580471252013, 4530.891756858961, 4531.203001765682, 4531.444662731367, 4531.587995131545, 4532.067196784186, 4532.4562785764265, 4532.865839661629]","[4523.040388782734, 4523.540028674195, 4524.039759167903, 4524.539376408803, 4525.0390325803555, 4525.5387351147765, 4526.038384915859, 4526.538056659672, 4527.0172317686865, 4527.451372252425, 4527.881429264597, 4528.323768897735, 4528.704685516417, 4529.085532767754, 4529.486926201993, 4529.83095602712, 4530.18728581505, 4530.51083740896, 4530.8303345523345, 4531.125196024685, 4531.583890778992, 4531.989376532673, 4532.374371314197, 4532.792114914793]",6,R,ITM,1
4,500,practice,0,3,3,3,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[4538.74719389624, 4539.148640771648, 4539.6482778317895, 4540.127506028058, 4540.659904294299, 4541.143212422984, 4541.630566508243, 4542.109755066028, 4542.519329953917, 4542.941196310649, 4543.313895730263, 4543.621046194051, 4543.874994381599, 4566.245496696734, 4597.094026374455, 4597.864008859201, 4598.244884777655, 4598.6667341464645, 4599.002603752844, 4599.408094461336, 4599.821708581413, 4600.3173035780455, 4600.75551833156, 4601.316634324732]","[4538.845527770473, 4539.2305087493105, 4539.648325610317, 4540.229940715694, 4540.745903522056, 4541.216882666906, 4541.712480140943, 4542.1916747152845, 4542.597131094019, 4543.023089416277, 4543.399881509249, 4543.727542764437, 4543.981458037888, 4566.356070722131, 4597.1922997292195, 4597.949998531252, 4598.3267729284735, 4598.719978538593, 4599.076304787373, 4599.473572634158, 4599.89951432241, 4600.399196683675, 4600.82924201665, 4601.378048491313]","[4538.227112580724, 4538.726753180015, 4539.226401565437, 4539.726075786656, 4540.229864977879, 4540.729506285, 4541.229171304428, 4541.728852957863, 4542.134326678433, 4542.543888825381, 4542.965739963766, 4543.338437613806, 4543.645620991691, 4566.270072910034, 4597.118567196253, 4597.888544372273, 4598.269463822276, 4598.687219455983, 4599.027159792988, 4599.428520667045, 4599.84216911688, 4600.337749249081, 4600.780068355148, 4601.341208768457]",6,R,ITM,1
5,500,practice,0,4,4,4,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[4607.124273722128, 4607.4887927498385, 4607.76729414621, 4608.029431573538, 4608.254678668161, 4608.504511177875, 4608.733867579862, 4609.012383840664, 4609.241721485155, 4609.507940968389, 4609.729114854981, 4609.946187220341, 4610.196003449963, 4610.454022368138, 4610.724365669252, 4611.02746274425, 4611.2281166376515, 4611.453382489771, 4611.719617899182, 4612.202901961645, 4612.628839402917, 4613.062994043256, 4613.423408718413, 4613.837053629098, 4614.238448478997, 4614.660281921631, 4615.1394892369135, 4615.5941107831895, 4616.03234641769, 4616.482855825282, 4616.937507100421, 4617.363436047732]","[4607.206179922613, 4607.566622910972, 4607.877886575189, 4608.107221034444, 4608.352941051559, 4608.594606972055, 4608.823974345408, 4609.090181441617, 4609.335938619809, 4609.589853539345, 4609.806932275174, 4610.036348842716, 4610.310691029706, 4610.548232070576, 4610.830833926436, 4611.1011478526025, 4611.3059400744, 4611.568055558996, 4611.826080493725, 4612.325764624565, 4612.74761717861, 4613.161310221738, 4613.521704369824, 4613.914869279715, 4614.320359634293, 4614.750402135948, 4615.221398976549, 4615.6637347166225, 4616.11424943294, 4616.552474096075, 4617.015281696895, 4617.441257714905]","[4606.845854080127, 4607.345459287916, 4607.845141295265, 4608.34475889008, 4608.844446206155, 4609.344115826479, 4609.843794648593, 4610.343455421041, 4610.744841423064, 4611.0520109982635, 4611.477953040431, 4612.22747569754, 4612.653408537917, 4613.087547605995, 4613.44387491652, 4613.86165320079, 4614.2589075988035, 4614.684846101821, 4615.164048462292, 4615.618718141011, 4616.05691626052, 4616.507423544622, 4616.962051815283, 4617.387985717405]",6,R,ITM,1
6,500,practice,0,5,5,5,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[4623.420925650593, 4623.73625473671, 4624.21549921307, 4624.665969336094, 4625.087852680747, 4625.513788352444, 4625.9315507105375, 4626.144511645043, 4626.541797541494, 4627.021002379371, 4627.508380530851, 4627.979379494942, 4628.446294279636, 4628.876331472566, 4629.302281300864, 4629.732320617284, 4630.182857276333, 4630.641562648091, 4631.042932370024, 4631.468874412191, 4631.878449653995, 4632.333078986401, 4632.754982150295, 4633.1563005545495, 4633.578157001661]","[4623.506923816605, 4623.8304803653255, 4624.326060851442, 4624.743793126758, 4625.1656605452345, 4625.595695260759, 4625.988876804657, 4626.2551454820805, 4626.652393863538, 4627.127490455797, 4627.610797168822, 4628.085877834904, 4628.540493718539, 4628.954156678889, 4629.392374263724, 4629.83060671299, 4630.281130985013, 4630.727559044529, 4631.133031703354, 4631.5548842574, 4631.976723008759, 4632.410876233438, 4632.853217990067, 4633.25459549813, 4633.672368473674]","[4623.130176670842, 4623.625671509521, 4624.129473087771, 4624.629127135833, 4625.12878082998, 4625.628456820774, 4626.12815616996, 4626.627824020708, 4627.045566913475, 4627.53294117189, 4628.0039419055565, 4628.466751275952, 4628.896797316758, 4629.326841234073, 4629.75689576884, 4630.207414024308, 4630.666105947294, 4631.0675022128535, 4631.493439654126, 4631.9030212664, 4632.35762900999, 4632.7794713005, 4633.180864734739, 4633.60271905836]",6,R,ITM,1
2,600,trial,0,6,6,6,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[4680.2195582645, 4680.8134085662305, 4681.354026508943, 4681.915187803239, 4682.5540617588795, 4683.143856194415, 4683.733621962834, 4684.327490668145, 4684.904962844231, 4685.445599898356, 4685.973950438448, 4686.481810360297, 4686.989657541204, 4687.4975224178625, 4687.972620425781, 4688.447713478889, 4688.951488159596, 4689.430722018505, 4689.909867398657, 4690.38908674705, 4690.843730589972, 4691.339262235816, 4691.76110063326]","[4680.342407832564, 4680.895342372087, 4681.452368169307, 4682.0175287033935, 4682.627761731664, 4683.238011040025, 4683.827795212025, 4684.405282960372, 4685.011489851309, 4685.539796505938, 4686.05994860446, 4686.571874656039, 4687.05927050327, 4687.587609364167, 4688.058638057119, 4688.537801486938, 4689.053870467808, 4689.51668585476, 4690.004037462613, 4690.479142548832, 4690.954258606417, 4691.429366170041, 4691.863475863172]","[4679.850954349563, 4680.452992475412, 4681.050954561912, 4681.653012507003, 4682.250998659724, 4682.8530562509, 4683.455152418815, 4684.0530621258895, 4684.35205095527, 4684.929538349701, 4685.4701654942055, 4685.9985471788195, 4686.506363923035, 4687.014255343321, 4687.517996048185, 4687.99717752767, 4688.4722783669085, 4688.976059064171, 4689.455231341865, 4689.934430163186, 4690.41365871337, 4690.868238851588, 4691.363799872378, 4691.78566410562]",6,R,ITM,1
2,400,trial,0,7,7,7,"['S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[4698.641831977426, 4699.0841478982575, 4699.460944592125, 4699.890985324206, 4700.345617134018, 4700.820714788021, 4701.271229150423, 4701.623462018017, 4701.9797634927445, 4702.332000253403, 4702.696522820263, 4703.056947405042, 4703.417344030533, 4703.761382703536, 4704.109526790837, 4704.4699435894845, 4704.793484212028, 4705.112956581351, 4705.465182016728, 4705.76419562016, 4706.1040995039175]","[4698.740104978275, 4699.16607356407, 4699.551070822998, 4700.005662286497, 4700.43987850805, 4700.914887683297, 4701.389983567726, 4701.72585494368, 4702.08218119246, 4702.446686063569, 4702.786614721379, 4703.15115144484, 4703.507446549099, 4703.847389363508, 4704.203720921014, 4704.560040445409, 4704.8876886057415, 4705.211251171017, 4705.54299094296, 4705.862465081859, 4706.202407896269]","[4697.331232965627, 4697.7325835761485, 4698.129952288716, 4698.531227161421, 4698.932618118255, 4699.32989587466, 4699.731247193012, 4700.132652306446, 4700.845256671563, 4701.295862344043, 4701.643928570038, 4702.004342537365, 4702.352471406321, 4702.716991495776, 4703.081513708722, 4703.441923429068, 4703.7859536081105, 4704.134095218006, 4704.494513786229, 4704.818057947923, 4705.137534210311, 4705.485657062711, 4705.788784574402, 4706.128664745852]",6,R,ITM,1
4,600,trial,0,8,8,8,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[4711.809380305407, 4712.33772942984, 4712.759599325721, 4713.132254859873, 4713.62784808693, 4713.992366052896, 4714.590327077649, 4715.176003711861, 4715.745306821323, 4716.425173338732, 4716.945318358953, 4717.424520365509, 4717.842282369687, 4718.2969134716695, 4718.722845958131, 4719.103731078376, 4719.492844015138, 4719.8614203247025, 4720.254608239071, 4720.627339864953, 4720.979534863638, 4721.344057784414, 4721.696288882432, 4722.060808264057, 4722.445781456764]","[4711.932239429178, 4712.44008130136, 4712.845609878759, 4713.279690904773, 4713.7343223606695, 4714.111127548498, 4714.6558540907445, 4715.257911328006, 4715.810799858576, 4716.490703890977, 4717.03951461262, 4717.510506144496, 4717.932389135233, 4718.386987677032, 4718.808836691928, 4719.206118695313, 4719.595211458919, 4719.959742165825, 4720.320148347022, 4720.721547443902, 4721.0655259513505, 4721.434160656894, 4721.802753246551, 4722.150938387995, 4722.535900609336]","[4711.4694633267945, 4712.0673917913655, 4712.669455399097, 4713.267418547342, 4713.869454903616, 4714.467467246049, 4715.069507141475, 4715.667473828868, 4716.4497888365995, 4716.965787742294, 4717.444984794041, 4717.866860352563, 4718.321462433512, 4718.7433011848725, 4719.1283101229965, 4719.517402178772, 4719.885991229278, 4720.279181621051, 4720.6519274035345, 4721.000007078301, 4721.368638244695, 4721.720857309601, 4722.081271630844, 4722.470343867378]",6,R,ITM,1
