octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[66585, 67092, 67658, 68207, 68748, 69309, 69841, 70419, 70998, 71554, 72104, 72641, 73166, 73729, 74250, 74781, 75308, 75848, 76365, 76933, 77436, 77929, 78401, 78953, 79436, 79924, 80411, 80873, 81387, 81921]","[66733, 67226, 67776, 68301, 68841, 69402, 69929, 70529, 71090, 71646, 72196, 72729, 73251, 73821, 74354, 74900, 75449, 76022, 76538, 77034, 77502, 77987, 78474, 79031, 79553, 80021, 80485, 80952, 81469, 81996]",,16,R,ITM,1.1,
7,500,practice,0,0,0,0,practice,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[176878, 177675, 178274, 178812, 179329, 179847, 180331, 180879, 181354, 181812, 182278, 182734, 183191, 183656, 184090, 184544, 184976, 185406, 185854, 186277, 186720, 187145, 187560]","[176910, 177755, 178354, 178899, 179422, 179931, 180411, 180959, 181439, 181900, 182365, 182832, 183277, 183738, 184183, 184646, 185070, 185506, 185968, 186372, 186820, 187246, 187669]","[176891, 177390, 177890, 178391, 178890, 179390, 179891, 180391, 180905, 181382, 181838, 182305, 182761, 183218, 183684, 184118, 184571, 185004, 185433, 185881, 186305, 186746, 187172, 187587]",16,R,ITM,1.1,
2,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[193349, 193913, 194407, 194908, 195418, 195910, 196411, 196921, 197383, 197863, 198335, 198806, 199280, 199761, 200218, 200689, 201178, 201601, 202102, 202552, 203036, 203491, 203974]","[193476, 194013, 194514, 195011, 195523, 196015, 196490, 196985, 197439, 197934, 198426, 198919, 199374, 199853, 200297, 200778, 201257, 201701, 202204, 202663, 203124, 203607, 204052]","[192976, 193475, 193976, 194476, 194975, 195476, 195977, 196476, 196947, 197409, 197891, 198362, 198834, 199307, 199789, 200246, 200717, 201204, 201628, 202129, 202578, 203063, 203517, 204002]",16,R,ITM,1.1,
4,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[209882, 210219, 210664, 211128, 211659, 212166, 212635, 213144, 213659, 214139, 214665, 215163, 215620, 216144, 216648, 217147, 217638, 218125, 218604, 219078, 219604, 220083, 220582, 221078]","[209956, 210330, 210768, 211234, 211746, 212252, 212727, 213256, 213760, 214270, 214782, 215274, 215731, 216271, 216787, 217292, 217760, 218281, 218757, 219240, 219726, 220212, 220725, 221205]","[209699, 210198, 210698, 211198, 211698, 212198, 212699, 213198, 213685, 214165, 214690, 215189, 215646, 216170, 216674, 217172, 217664, 218150, 218631, 219105, 219630, 220108, 220608, 221104]",16,R,ITM,1.1,
6,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[227016, 227522, 228024, 228519, 229032, 229562, 230020, 230521, 231023, 231537, 232016, 232532, 233005, 233522, 234005, 234485, 234973, 235470, 235914, 236400, 236877, 237320, 237832]","[227116, 227624, 228125, 228649, 229149, 229658, 230121, 230610, 231118, 231649, 232133, 232647, 233131, 233643, 234131, 234595, 235094, 235581, 236025, 236529, 236983, 237427, 237949]","[226598, 227098, 227598, 228099, 228598, 229098, 229598, 230098, 230549, 231050, 231564, 232043, 232559, 233032, 233548, 234032, 234512, 234999, 235497, 235940, 236427, 236904, 237347, 237858]",16,R,ITM,1.1,
3,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[243419, 243734, 244146, 244627, 245127, 245618, 246125, 246624, 247126, 247636, 248109, 248596, 249092, 249571, 250080, 250553, 251051, 251551, 252035, 252541, 253022, 253489, 253989, 254478]","[243473, 243850, 244274, 244755, 245229, 245733, 246236, 246737, 247222, 247754, 248233, 248725, 249234, 249703, 250187, 250657, 251159, 251660, 252144, 252643, 253111, 253608, 254123, 254587]","[243171, 243672, 244171, 244671, 245171, 245671, 246171, 246671, 247151, 247661, 248134, 248622, 249117, 249596, 250105, 250578, 251076, 251577, 252060, 252567, 253047, 253514, 254015, 254503]",16,R,ITM,1.1,
5,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[260127, 260465, 260894, 261411, 261871, 262352, 262846, 263343, 263864, 264357, 264846, 265350, 265801, 266317, 266790, 267246, 267736, 268207, 268698, 269216, 269717, 270176, 270660, 271125]","[260212, 260579, 261020, 261515, 261976, 262450, 262952, 263462, 263963, 264454, 264943, 265442, 265893, 266408, 266895, 267348, 267836, 268326, 268825, 269318, 269810, 270275, 270759, 271239]","[259941, 260441, 260940, 261440, 261940, 262440, 262940, 263440, 263890, 264384, 264871, 265376, 265827, 266343, 266817, 267272, 267761, 268232, 268724, 269242, 269743, 270201, 270686, 271152]",16,R,ITM,1.1,
4,600,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[323995, 324561, 325137, 325773, 326387, 326977, 327610, 328200, 328771, 329323, 329876, 330428, 330977, 331499, 332047, 332581, 333123, 333702, 334214, 334757, 335335, 335882, 336413]","[324091, 324648, 325225, 325854, 326468, 327061, 327683, 328274, 328850, 329412, 329985, 330536, 331075, 331622, 332169, 332705, 333250, 333842, 334344, 334889, 335456, 336021, 336539]","[323528, 324127, 324727, 325327, 325927, 326528, 327128, 327728, 328225, 328797, 329349, 329903, 330454, 331002, 331525, 332072, 332607, 333149, 333727, 334240, 334783, 335361, 335907, 336439]",16,R,ITM,1.1,
5,400,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[341995, 342571, 343083, 343347, 343705, 344100, 344501, 344931, 345310, 345691, 346081, 346475, 346857, 347245, 347615, 347994, 348347, 348726, 349110, 349478, 349811, 350210, 350556]","[342074, 342648, 343158, 343429, 343785, 344185, 344581, 344999, 345392, 345778, 346171, 346560, 346943, 347330, 347713, 348106, 348474, 348866, 349225, 349579, 349921, 350332, 350684]","[341781, 342180, 342580, 342980, 343380, 343780, 344180, 344581, 344957, 345335, 345717, 346107, 346501, 346883, 347271, 347641, 348019, 348374, 348751, 349135, 349504, 349837, 350235, 350582]",16,R,ITM,1.1,
6,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[356389, 356850, 357331, 357926, 358521, 359135, 359724, 360291, 360895, 361479, 362019, 362596, 363108, 363642, 364176, 364719, 365254, 365792, 366305, 366826, 367361, 367896, 368432, 368969]","[356511, 356971, 357451, 358041, 358627, 359225, 359825, 360402, 360993, 361566, 362114, 362687, 363213, 363738, 364260, 364800, 365355, 365870, 366383, 366909, 367432, 367978, 368513, 369043]","[356227, 356826, 357426, 358025, 358625, 359225, 359825, 360425, 360922, 361505, 362046, 362624, 363134, 363669, 364203, 364745, 365281, 365818, 366331, 366853, 367387, 367923, 368458, 368996]",16,R,ITM,1.1,
