octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[35109, 35531, 36102, 36649, 37200, 37760, 38365, 38971, 39576, 40167, 40782, 41352, 41915, 42524, 43209, 43793, 44368, 44966, 45557, 46182, 46796, 47424, 48012, 48622, 49240, 49874, 50477, 51086, 51697, 52325]","[35237, 35689, 36221, 36766, 37307, 37838, 38454, 39044, 39659, 40246, 40835, 41434, 41990, 42609, 43276, 43869, 44447, 45049, 45652, 46262, 46875, 47498, 48082, 48688, 49328, 49931, 50546, 51147, 51757, 52386]",,29,R,ITM,1.1,
6,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[108246, 109078, 109578, 110141, 110657, 111134, 111600, 112144, 112676, 113186, 113674, 114197, 114696, 115197, 115701, 116191, 116688, 117188, 117726, 118214, 118727, 119220, 119708]","[108345, 109158, 109696, 110258, 110773, 111213, 111708, 112226, 112745, 113252, 113754, 114289, 114778, 115293, 115787, 116275, 116776, 117280, 117816, 118283, 118817, 119313, 119814]","[108157, 108657, 109157, 109658, 110157, 110657, 111157, 111657, 112171, 112704, 113213, 113700, 114224, 114722, 115224, 115729, 116218, 116716, 117216, 117752, 118242, 118755, 119246, 119735]",29,R,ITM,1.1,
4,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[126703, 127210, 127757, 128259, 128784, 129293, 129832, 130317, 130768, 131260, 131758, 132251, 132736, 133209, 133718, 134169, 134685, 135222, 135713, 136213, 136714]","[126779, 127320, 127863, 128354, 128869, 129362, 129901, 130388, 130857, 131368, 131856, 132366, 132837, 133309, 133819, 134283, 134796, 135324, 135792, 136282, 136775]","[125304, 125804, 126304, 126804, 127304, 127804, 128305, 128804, 129318, 129858, 130343, 130794, 131286, 131783, 132277, 132761, 133235, 133743, 134195, 134711, 135248, 135739, 136239, 136740]",29,R,ITM,1.1,
2,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[143963, 144476, 144989, 145506, 146023, 146505, 146991, 147500, 148018, 148519, 149021, 149559, 150073, 150558, 151072, 151622, 152123, 152612, 153107, 153622, 154144]","[144050, 144549, 145061, 145577, 146108, 146574, 147055, 147581, 148098, 148602, 149101, 149638, 150153, 150646, 151168, 151708, 152194, 152676, 153186, 153705, 154216]","[142507, 143005, 143506, 144007, 144506, 145006, 145506, 146007, 146533, 147018, 147527, 148045, 148546, 149049, 149586, 150099, 150585, 151099, 151649, 152151, 152640, 153135, 153649, 154171]",29,R,ITM,1.1,
7,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[160397, 160914, 161426, 161902, 162418, 162915, 163450, 163943, 164430, 164929, 165436, 165934, 166428, 166961, 167484, 167948, 168393, 168923, 169440, 169928, 170440, 170933]","[160488, 161006, 161514, 161980, 162485, 162985, 163520, 164032, 164505, 165004, 165511, 166024, 166505, 167021, 167571, 168036, 168521, 169044, 169526, 169997, 170491, 171004]","[159467, 159966, 160466, 160966, 161466, 161967, 162466, 162966, 163478, 163970, 164457, 164957, 165464, 165961, 166456, 166988, 167512, 167975, 168421, 168949, 169467, 169955, 170468, 170959]",29,R,ITM,1.1,
3,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[177656, 178178, 178697, 179156, 179632, 180125, 180636, 181125, 181673, 182180, 182694, 183196, 183691, 184195, 184678, 185235, 185759, 186285, 186776, 187323, 187852, 188376]","[177757, 178291, 178779, 179235, 179718, 180211, 180721, 181216, 181767, 182283, 182785, 183273, 183782, 184267, 184771, 185316, 185854, 186372, 186882, 187437, 187940, 188475]","[176697, 177198, 177697, 178197, 178697, 179197, 179697, 180197, 180662, 181150, 181699, 182206, 182720, 183222, 183716, 184220, 184704, 185261, 185785, 186310, 186802, 187348, 187878, 188401]",29,R,ITM,1.1,
5,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[194629, 195158, 195643, 196169, 196662, 197173, 197654, 198161, 198665, 199160, 199624, 200130, 200636, 201139, 201634, 202163, 202670, 203186, 203655, 204186, 204691, 205163]","[194738, 195276, 195734, 196251, 196723, 197254, 197728, 198218, 198724, 199223, 199687, 200211, 200714, 201203, 201719, 202243, 202739, 203258, 203734, 204255, 204762, 205267]","[193693, 194192, 194693, 195192, 195692, 196192, 196692, 197192, 197680, 198188, 198691, 199186, 199651, 200156, 200663, 201165, 201660, 202189, 202696, 203211, 203681, 204213, 204717, 205189]",29,R,ITM,1.1,
4,600,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[240004, 240634, 241234, 241849, 242401, 243015, 243605, 244226, 244824, 245417, 246018, 246618, 247200, 247826, 248374, 248984, 249563, 250184, 250743, 251366, 251958, 252564]","[240140, 240775, 241355, 241967, 242527, 243117, 243705, 244314, 244903, 245502, 246080, 246704, 247304, 247914, 248492, 249096, 249653, 250264, 250824, 251451, 252015, 252609]","[238835, 239434, 240034, 240634, 241234, 241835, 242435, 243035, 243631, 244251, 244849, 245443, 246043, 246644, 247226, 247852, 248399, 249010, 249588, 250210, 250769, 251392, 251983, 252590]",29,R,ITM,1.1,
2,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[258496, 259110, 259683, 260296, 260913, 261510, 262132, 262743, 263351, 263953, 264602, 265205, 265815, 266407, 267057, 267653, 268215, 268887, 269560, 270153, 270779, 271377, 271983]","[258592, 259215, 259785, 260378, 260990, 261590, 262231, 262843, 263454, 264032, 264671, 265262, 265883, 266508, 267122, 267742, 268326, 268973, 269632, 270247, 270857, 271449, 272036]","[257931, 258530, 259131, 259730, 260331, 260931, 261531, 262130, 262770, 263377, 263981, 264630, 265233, 265842, 266434, 267083, 267679, 268242, 268913, 269588, 270180, 270806, 271405, 272010]",29,R,ITM,1.1,
6,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[278692, 279328, 279897, 280493, 281099, 281733, 282326, 282942, 283538, 284177, 284773, 285327, 285902, 286502, 287051, 287673, 288286, 288874, 289424, 290021, 290614, 291214]","[278787, 279422, 279989, 280595, 281199, 281821, 282399, 283026, 283616, 284252, 284862, 285432, 286014, 286595, 287163, 287759, 288358, 288949, 289498, 290105, 290698, 291301]","[277561, 278161, 278761, 279361, 279961, 280561, 281161, 281761, 282352, 282969, 283565, 284205, 284801, 285353, 285930, 286530, 287078, 287700, 288313, 288901, 289451, 290048, 290641, 291240]",29,R,ITM,1.1,
