octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[62315, 63052, 63779, 64446, 65153, 65869, 66502, 67223, 67905, 68595, 69254, 69944, 70641, 71335, 72053, 72737, 73434, 74142, 74856, 75554, 76242, 76962, 77602, 78296, 78911, 79556, 80277, 80935, 81627, 82276]","[62483, 63259, 63966, 64613, 65357, 66085, 66892, 67580, 68232, 68909, 69594, 70300, 71023, 71718, 72394, 73107, 73718, 74462, 75171, 75848, 76548, 77201, 77882, 78498, 79175, 79810, 80541, 81196, 81827, 82519]",,47,R,ITM,1.1,
4,500,practice,0,0,0,0,practice,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[183298, 183811, 184310, 184810, 185281, 185747, 186250, 186708, 186810, 187208, 187714, 188221, 188633, 189165, 189673, 190148, 190668, 191168, 191637, 192095, 192626, 193083, 193599, 194064, 194593]","[183422, 183831, 184330, 184830, 185302, 185767, 186270, 186728, 186830, 187255, 187758, 188267, 188679, 189204, 189715, 190183, 190707, 191206, 191678, 192135, 192660, 193122, 193631, 194104, 194624]","[183310, 183811, 184310, 184810, 185310, 185810, 186310, 186810, 187234, 187740, 188247, 188659, 189191, 189699, 190174, 190694, 191194, 191663, 192120, 192652, 193108, 193626, 194089, 194619]",47,R,ITM,1.1,
3,500,practice,0,1,1,1,practice,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[200182, 200693, 201193, 201693, 202146, 202650, 203128, 203644, 204121, 204674, 205103, 205643, 206116, 206579, 207120, 207569, 208126, 208632, 209101, 209599, 210033, 210593, 211079, 211516]","[200305, 200713, 201213, 201713, 202166, 202670, 203148, 203664, 204156, 204707, 205135, 205683, 206152, 206619, 207159, 207604, 208162, 208667, 209139, 209635, 210065, 210632, 211118, 211551]","[200194, 200693, 201193, 201693, 202193, 202693, 203193, 203694, 204146, 204699, 205128, 205669, 206142, 206605, 207145, 207595, 208152, 208658, 209127, 209625, 210059, 210619, 211104, 211542]",47,R,ITM,1.1,
6,500,practice,0,2,2,2,practice,"['B', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[217171, 217684, 218184, 218684, 219185, 219684, 220135, 220615, 221117, 221613, 222087, 222553, 222985, 223498, 223936, 224407, 224862, 225328, 225819, 226300, 227786, 228281, 228732, 229221]","[217295, 217704, 218204, 218704, 219205, 219704, 220155, 220635, 221188, 221655, 222162, 222596, 223028, 223536, 223977, 224451, 224902, 225377, 225861, 226338, 227830, 228321, 228771, 229262]","[217185, 217684, 218184, 218684, 219185, 219684, 220184, 220684, 221144, 221639, 222113, 222580, 223011, 223525, 223963, 224435, 224889, 225354, 225847, 226328, 227814, 228308, 228759, 229249]",47,R,ITM,1.1,
7,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[236878, 237370, 237867, 238326, 238854, 239354, 239820, 240312, 240756, 241278, 241744, 242219, 242664, 243208, 243681, 244189, 244651, 245101, 245611, 246113]","[236941, 237436, 237952, 238424, 238940, 239428, 239884, 240363, 240811, 241342, 241787, 242278, 242740, 243294, 243738, 244252, 244733, 245181, 245706, 246210]","[234893, 235393, 235892, 236392, 236893, 237392, 237892, 238392, 238880, 239381, 239847, 240339, 240783, 241306, 241772, 242245, 242691, 243235, 243708, 244216, 244678, 245128, 245639, 246139]",47,R,ITM,1.1,
5,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[253891, 254418, 254899, 255376, 255834, 256346, 256841, 257289, 257719, 258276, 258774, 259249, 259692, 260197, 260679, 261172, 261628, 262141, 262582, 263074]","[254001, 254479, 254982, 255430, 255889, 256400, 256922, 257352, 257745, 258356, 258828, 259311, 259791, 260278, 260762, 261242, 261733, 262188, 262660, 263137]","[251900, 252399, 252899, 253400, 253899, 254399, 254899, 255399, 255859, 256372, 256867, 257314, 257745, 258301, 258799, 259274, 259719, 260222, 260705, 261197, 261654, 262168, 262607, 263100]",47,R,ITM,1.1,
2,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[270682, 271201, 271664, 272156, 272651, 273227, 273705, 274222, 274712, 275238, 275692, 276196, 276684, 277191, 277641, 278212, 278682, 279211, 279674, 280209]","[270702, 271250, 271714, 272211, 272678, 273255, 273759, 274279, 274776, 275269, 275756, 276259, 276758, 277251, 277740, 278252, 278747, 279262, 279737, 280237]","[268701, 269200, 269702, 270201, 270701, 271201, 271702, 272201, 272678, 273254, 273733, 274249, 274739, 275266, 275720, 276222, 276711, 277219, 277667, 278240, 278709, 279238, 279701, 280237]",47,R,ITM,1.1,
7,400,trial,0,6,6,6,trial,"['S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[292261, 292641, 293028, 293716, 294116, 294513, 294863, 295260, 295694, 296069, 296470, 296870, 297317, 297738, 298149, 298531, 298945, 299376, 299784]","[292321, 292692, 293079, 293756, 294191, 294566, 294952, 295359, 295751, 296143, 296568, 296983, 297398, 297797, 298214, 298641, 299040, 299459, 299873]","[290662, 291061, 291462, 291861, 292261, 292661, 293061, 293462, 293743, 294142, 294541, 294890, 295286, 295721, 296095, 296498, 296897, 297345, 297765, 298177, 298558, 298972, 299403, 299810]",47,R,ITM,1.1,
5,400,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[306923, 307310, 307671, 308089, 308478, 308878, 309267, 309681, 310055, 310458, 310823, 311266, 311638, 312000, 312368, 312782, 313166, 313551, 313907, 314288]","[307004, 307372, 307771, 308163, 308560, 308946, 309342, 309750, 310126, 310535, 310912, 311355, 311723, 312052, 312429, 312837, 313235, 313606, 313970, 314340]","[305311, 305711, 306110, 306510, 306910, 307310, 307710, 308110, 308504, 308903, 309293, 309706, 310081, 310483, 310850, 311291, 311663, 312026, 312393, 312808, 313193, 313577, 313933, 314313]",47,R,ITM,1.1,
4,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[322070, 322630, 323264, 323817, 324353, 324971, 325462, 326086, 326590, 327201, 327695, 328206, 328724, 329250, 329755, 329861, 330248, 330687, 331196, 331656, 332142]","[322096, 322655, 323287, 323909, 324378, 324997, 325567, 326112, 326616, 327296, 327720, 328231, 328750, 329277, 329781, 329881, 330273, 330714, 331225, 331681, 332270]","[319682, 320281, 320881, 321481, 322081, 322681, 323281, 323881, 324378, 324997, 325487, 326112, 326616, 327227, 327720, 328231, 328750, 329277, 329781, 330273, 330713, 331222, 331681, 332168]",47,R,ITM,1.1,
