octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[33188, 33735, 34370, 34936, 35538, 36078, 36625, 37149, 37698, 38241, 38800, 39351, 39942, 40483, 41052, 41602, 42161, 42719, 43278, 43803, 44353, 44873, 45382, 45873, 46397, 46888, 47344, 47828, 48337, 48766]","[33332, 33928, 34533, 35098, 35642, 36192, 36734, 37264, 37816, 38349, 38905, 39468, 40055, 40601, 41143, 41719, 42293, 42832, 43392, 43911, 44451, 44980, 45481, 45978, 46486, 46980, 47459, 47925, 48442, 48897]",,39,R,ITM,1.1,
3,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[103770, 104357, 104905, 105479, 106005, 106516, 107019, 107544, 108056, 108577, 109069, 109602, 110094, 110587, 111086, 111560, 112035, 112557, 113026, 113542, 114042, 114540, 115049]","[103861, 104472, 105049, 105588, 106118, 106627, 107151, 107649, 108170, 108674, 109179, 109719, 110214, 110721, 111198, 111676, 112148, 112661, 113149, 113646, 114166, 114718, 115197]","[103573, 104072, 104572, 105072, 105572, 106073, 106572, 107072, 107570, 108082, 108603, 109095, 109628, 110119, 110614, 111112, 111586, 112061, 112582, 113051, 113567, 114068, 114566, 115075]",39,R,ITM,1.1,
6,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[121009, 121608, 122041, 122518, 123002, 123525, 124039, 124540, 125039, 125533, 126027, 126522, 127028, 127542, 128009, 128507, 128978, 129466, 129923, 130408, 130863, 131350, 131810]","[121149, 121701, 122180, 122649, 123158, 123675, 124192, 124677, 125182, 125676, 126206, 126690, 127232, 127680, 128162, 128659, 129118, 129588, 130069, 130553, 130962, 131471, 131919]","[120573, 121072, 121572, 122073, 122572, 123072, 123572, 124072, 124567, 125066, 125559, 126054, 126548, 127055, 127569, 128036, 128535, 129006, 129492, 129949, 130435, 130889, 131378, 131836]",39,R,ITM,1.1,
2,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[137778, 138188, 138592, 139052, 139550, 140059, 140537, 141063, 141566, 142024, 142484, 142977, 143429, 143877, 144331, 144791, 145233, 145658, 146091, 146540, 147002, 147449, 147891, 148350]","[137866, 138281, 138711, 139193, 139673, 140184, 140704, 141180, 141705, 142158, 142614, 143083, 143545, 143991, 144453, 144892, 145329, 145769, 146193, 146640, 147091, 147524, 147995, 148442]","[137607, 138106, 138606, 139106, 139606, 140106, 140606, 141107, 141592, 142052, 142512, 143004, 143457, 143904, 144358, 144819, 145261, 145686, 146117, 146567, 147030, 147477, 147918, 148378]",39,R,ITM,1.1,
7,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[154003, 154343, 154783, 155268, 155790, 156317, 156797, 157342, 157826, 158285, 158761, 159335, 159850, 160301, 160747, 161202, 161674, 162131, 162604, 163092, 163546, 164016, 164489, 164979]","[154095, 154477, 154924, 155398, 155933, 156449, 156942, 157475, 157947, 158410, 158895, 159518, 159962, 160400, 160880, 161314, 161778, 162230, 162692, 163186, 163638, 164121, 164601, 165088]","[153874, 154374, 154873, 155373, 155873, 156374, 156873, 157373, 157853, 158313, 158789, 159362, 159877, 160327, 160774, 161228, 161701, 162159, 162631, 163119, 163572, 164042, 164515, 165006]",39,R,ITM,1.1,
4,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[170609, 170963, 171364, 171840, 172376, 172887, 173393, 173884, 174406, 174907, 175388, 175872, 176369, 176867, 177345, 177820, 178297, 178814, 179252, 179753, 180231, 180731, 181212, 181726]","[170700, 171069, 171475, 171967, 172488, 172999, 173506, 174000, 174525, 175009, 175488, 175977, 176478, 176960, 177451, 177921, 178413, 178907, 179361, 179843, 180358, 180837, 181331, 181836]","[170464, 170963, 171463, 171963, 172464, 172963, 173463, 173963, 174432, 174932, 175414, 175897, 176395, 176892, 177371, 177846, 178324, 178840, 179277, 179779, 180256, 180757, 181237, 181751]",39,R,ITM,1.1,
5,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[187395, 187763, 188181, 188643, 189160, 189647, 190155, 190661, 191162, 191652, 192129, 192615, 193102, 193583, 194086, 194560, 195051, 195528, 195981, 196466, 196958, 197455, 197913, 198360]","[187486, 187862, 188298, 188756, 189270, 189756, 190268, 190767, 191288, 191754, 192231, 192731, 193199, 193699, 194172, 194678, 195180, 195622, 196099, 196563, 197037, 197538, 198007, 198461]","[187227, 187726, 188226, 188726, 189227, 189726, 190226, 190727, 191187, 191678, 192154, 192641, 193129, 193608, 194113, 194585, 195077, 195554, 196007, 196492, 196983, 197482, 197939, 198385]",39,R,ITM,1.1,
6,400,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[228440, 228772, 229046, 229385, 229785, 230176, 230574, 230950, 231346, 231718, 232089, 232497, 232861, 233242, 233638, 233998, 234393, 234750, 235134, 235567, 235918, 236286, 236646, 237046]","[228515, 228843, 229134, 229475, 229872, 230259, 230637, 231022, 231438, 231794, 232187, 232578, 232945, 233345, 233722, 234101, 234496, 234853, 235231, 235627, 235990, 236356, 236716, 237122]","[228259, 228659, 229059, 229459, 229859, 230259, 230660, 231059, 231372, 231745, 232117, 232524, 232888, 233269, 233665, 234024, 234420, 234777, 235162, 235593, 235945, 236314, 236673, 237073]",39,R,ITM,1.1,
3,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[242558, 242888, 243533, 243633, 244196, 244811, 245431, 246048, 246626, 247212, 247808, 248400, 249026, 249617, 250207, 250768, 251364, 251931, 252495, 253077, 253677, 254272, 254854, 255441, 255985]","[242629, 242987, 243553, 243653, 244284, 244902, 245505, 246135, 246702, 247303, 247915, 248477, 249125, 249719, 250303, 250859, 251465, 252019, 252599, 253187, 253765, 254382, 254959, 255557, 256096]","[242441, 243041, 243641, 244241, 244841, 245441, 246041, 246641, 247237, 247833, 248426, 249052, 249643, 250232, 250793, 251389, 251957, 252521, 253103, 253704, 254299, 254879, 255467, 256011]",39,R,ITM,1.1,
2,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[262917, 263514, 264124, 264734, 265357, 265960, 266519, 267134, 267732, 268358, 268977, 269566, 270189, 270776, 271351, 271934, 272488, 273092, 273647, 274229, 274805, 275418]","[263054, 263632, 264229, 264842, 265432, 266044, 266618, 267209, 267824, 268461, 269075, 269671, 270279, 270865, 271443, 272015, 272602, 273180, 273743, 274305, 274881, 275492]","[261757, 262358, 262958, 263558, 264158, 264757, 265357, 265956, 266547, 267162, 267760, 268385, 269004, 269592, 270216, 270802, 271379, 271962, 272515, 273120, 273675, 274256, 274833, 275445]",39,R,ITM,1.1,
