octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version
3,400,trial,0,9,9,9,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[345635, 346020, 346424, 346767, 347170, 347524, 348055, 348444, 348816, 349293, 349705, 350135, 350580, 351059, 351497, 352066, 352523, 353041, 353514, 353977, 354454, 354954, 355444, 355943]","[345714, 346084, 346482, 346844, 347249, 347617, 348135, 348537, 348974, 349376, 349772, 350192, 350644, 351102, 351618, 352136, 352602, 353102, 353602, 354051, 354538, 355056, 355545, 356001]","[345491, 345891, 346291, 346691, 347091, 347491, 347891, 348292, 348841, 349319, 349730, 350160, 350606, 351085, 351523, 352092, 352548, 353067, 353540, 354002, 354480, 354979, 355470, 355969]",8,R,ITM,1.1
6,400,trial,0,10,10,10,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[361849, 362143, 362646, 362971, 363399, 363790, 364179, 364664, 365184, 365581, 366056, 366516, 367045, 367510, 367975, 368530, 369123, 369625, 370190, 370753, 371270, 371730, 372202, 372670]","[361922, 362268, 362703, 363031, 363442, 363837, 364228, 364729, 365247, 365658, 366104, 366574, 367108, 367556, 368033, 368577, 369169, 369690, 370252, 370812, 371328, 371801, 372277, 372769]","[361700, 362099, 362500, 362899, 363299, 363699, 364099, 364499, 365210, 365608, 366083, 366542, 367072, 367537, 368002, 368557, 369150, 369651, 370216, 370780, 371297, 371757, 372229, 372697]",8,R,ITM,1.1
4,600,trial,0,11,11,11,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[378527, 379083, 379815, 380488, 381164, 381773, 382395, 382970, 383720, 384418, 385062, 385784, 386532, 387176, 387849, 388582, 389245, 389912, 390588, 391287, 392004, 392796, 393474]","[378582, 379163, 379891, 380571, 381222, 381850, 382462, 383049, 383796, 384492, 385127, 385839, 386598, 387237, 387923, 388667, 389315, 389983, 390642, 391360, 392070, 392862, 393583]","[378145, 378744, 379344, 379944, 380545, 381145, 381745, 382344, 382996, 383746, 384444, 385088, 385810, 386557, 387202, 387874, 388608, 389271, 389938, 390615, 391313, 392030, 392821, 393499]",8,R,ITM,1.1
2,400,trial,0,12,12,12,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[399343, 399769, 400247, 400716, 401223, 401617, 402097, 402551, 403014, 403478, 404026, 404589, 405136, 405881, 406549, 407104, 407606, 408120, 408645, 409186, 409761, 410275, 410871]","[399394, 399862, 400324, 400781, 401281, 401681, 402155, 402661, 403072, 403578, 404135, 404654, 405207, 405963, 406615, 407201, 407697, 408217, 408722, 409251, 409832, 410374, 410955]","[399168, 399567, 399967, 400368, 400769, 401167, 401568, 401969, 402579, 403042, 403505, 404052, 404617, 405163, 405908, 406576, 407131, 407632, 408146, 408672, 409213, 409788, 410303, 410899]",8,R,ITM,1.1
3,400,trial,0,13,13,13,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[416558, 416929, 417414, 417963, 418428, 418872, 419283, 419685, 420121, 420598, 421103, 421652, 422194, 422739, 423239, 423740, 424220, 424675, 425118, 425669, 426182, 426679, 427149]","[416625, 417008, 417515, 418037, 418506, 418942, 419351, 419764, 420203, 420685, 421190, 421725, 422285, 422825, 423344, 423826, 424325, 424817, 425202, 425767, 426297, 426764, 427242]","[416397, 416796, 417197, 417596, 417996, 418397, 418797, 419197, 419710, 420147, 420624, 421129, 421678, 422219, 422765, 423265, 423766, 424246, 424700, 425144, 425695, 426209, 426704, 427174]",8,R,ITM,1.1
4,400,trial,0,14,14,14,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[432920, 433265, 433803, 434392, 434947, 435493, 435940, 436348, 436846, 437393, 437953, 438509, 439068, 439636, 440190, 440702, 441203, 441705, 442212, 442741, 443228, 443713]","[432947, 433328, 433888, 434512, 435058, 435581, 436047, 436450, 436950, 437460, 438049, 438595, 439147, 439700, 440258, 440770, 441265, 441779, 442297, 442808, 443303, 443770]","[432721, 433120, 433520, 433921, 434320, 434720, 435121, 435520, 435965, 436374, 436872, 437419, 437979, 438535, 439094, 439662, 440216, 440727, 441229, 441731, 442237, 442767, 443253, 443739]",8,R,ITM,1.1
7,400,trial,0,15,15,15,"['S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[449646, 450184, 450799, 451278, 451960, 452445, 452922, 453384, 453870, 454374, 454856, 455369, 455909, 456528, 456993, 457461, 457925, 458416, 458875, 459464, 459926]","[449719, 450245, 450883, 451365, 452034, 452516, 452974, 453449, 453946, 454446, 454931, 455432, 456006, 456589, 457049, 457545, 457992, 458519, 458977, 459504, 460085]","[449271, 449671, 450070, 450470, 450870, 451270, 451671, 452070, 452472, 452948, 453411, 453898, 454402, 454884, 455396, 455936, 456555, 457020, 457488, 457952, 458443, 458903, 459491, 459953]",8,R,ITM,1.1
5,600,trial,0,16,16,16,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[465804, 466589, 467365, 467893, 468505, 469118, 469790, 470293, 470900, 471523, 472148, 472784, 473395, 473974, 474556, 475090, 475722, 476325, 476900, 477446, 478081, 478674, 479325]","[465896, 466679, 467433, 467974, 468588, 469200, 469848, 470362, 470969, 471589, 472214, 472844, 473452, 474040, 474620, 475156, 475780, 476394, 476954, 477523, 478155, 478784, 479399]","[465538, 466138, 466738, 467338, 467938, 468538, 469138, 469738, 470319, 470927, 471548, 472174, 472810, 473420, 474000, 474582, 475116, 475748, 476351, 476925, 477471, 478107, 478700, 479351]",8,R,ITM,1.1
4,600,trial,0,17,17,17,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[485292, 485787, 486308, 486940, 487476, 488068, 488780, 489252, 489974, 490514, 491098, 491767, 492475, 493140, 493774, 494321, 494934, 495583, 496204, 496825, 497551, 498240, 498881, 499581]","[485334, 485865, 486379, 487012, 487541, 488158, 488849, 489335, 490040, 490598, 491169, 491864, 492571, 493223, 493876, 494408, 495024, 495679, 496302, 496925, 497619, 498290, 498958, 499641]","[485133, 485732, 486332, 486932, 487532, 488132, 488732, 489332, 490000, 490540, 491123, 491793, 492500, 493166, 493800, 494347, 494959, 495608, 496230, 496850, 497577, 498266, 498907, 499607]",8,R,ITM,1.1
3,600,trial,0,18,18,18,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[510172, 510694, 511138, 511758, 512314, 513014, 513540, 514096, 514655, 515336, 516052, 516803, 517482, 518249, 518971, 519660, 520396, 521118, 521823, 522517, 523234, 523962, 524646, 525313]","[510236, 510758, 511257, 511852, 512411, 513068, 513659, 514216, 514792, 515457, 516139, 516914, 517651, 518391, 519076, 519768, 520508, 521223, 521919, 522635, 523330, 524063, 524734, 525403]","[509954, 510554, 511154, 511754, 512354, 512954, 513554, 514154, 514680, 515361, 516078, 516829, 517508, 518275, 518996, 519686, 520422, 521144, 521848, 522544, 523259, 523987, 524672, 525338]",8,R,ITM,1.1
