octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[62648, 63300, 63960, 64693, 65394, 66095, 66794, 67464, 68155, 68877, 69544, 69650, 70206, 70838, 71493, 72152, 72779, 73466, 74083, 74755, 75355, 75995, 76643, 77274, 77879, 78512, 79143, 81014, 81647, 82278]","[62757, 63437, 64071, 64774, 65472, 66128, 66828, 67494, 68180, 68988, 69570, 69670, 70313, 70861, 71526, 72178, 72804, 73499, 74112, 74779, 75375, 76017, 76665, 77295, 77902, 78532, 79166, 81145, 81770, 82312]",,21,R,ITM,1.1,
6,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[165451, 166009, 166491, 166960, 167476, 167952, 168465, 168973, 169483, 170009, 170478, 170975, 171453, 171956, 172440, 172919, 173422, 173904, 174388, 174871, 175333, 175831]","[165560, 166107, 166609, 167070, 167578, 168043, 168564, 169009, 169515, 170096, 170588, 171008, 171564, 172065, 172550, 173008, 173502, 173935, 174418, 174952, 175420, 175924]","[164505, 165004, 165505, 166004, 166504, 167005, 167504, 168004, 168493, 168999, 169510, 170037, 170506, 171002, 171480, 171983, 172468, 172946, 173449, 173931, 174415, 174899, 175361, 175857]",21,R,ITM,1.1,
5,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[183916, 184413, 184910, 185360, 185893, 186370, 186839, 187326, 187806, 187921, 188260, 188806, 189263, 189696, 190170, 190282, 190624, 191106, 191554, 192029, 192459]","[184044, 184545, 185016, 185486, 186029, 186478, 186979, 187471, 187841, 187967, 188391, 188902, 189378, 189828, 190202, 190302, 190744, 191211, 191680, 192123, 192582]","[181392, 181892, 182391, 182891, 183391, 183891, 184391, 184891, 185385, 185919, 186395, 186864, 187353, 187832, 188285, 188832, 189289, 189721, 190195, 190650, 191131, 191580, 192055, 192486]",21,R,ITM,1.1,
2,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[198586, 199071, 199560, 200077, 200572, 201040, 201576, 202081, 202556, 203000, 203478, 203942, 204455, 204933, 205406, 205902, 206365, 206857, 207356, 207838, 208318, 208835, 209311]","[198708, 199203, 199672, 200199, 200716, 201145, 201601, 202189, 202685, 203115, 203575, 204057, 204546, 205032, 205511, 205981, 206392, 206955, 207436, 207931, 208417, 208863, 209397]","[198120, 198621, 199120, 199620, 200120, 200620, 201120, 201620, 202107, 202584, 203027, 203504, 203969, 204482, 204960, 205432, 205929, 206392, 206883, 207384, 207864, 208346, 208863, 209338]",21,R,ITM,1.1,
7,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[215822, 216326, 216855, 217302, 217795, 218304, 218736, 219259, 219715, 220193, 220662, 221162, 221650, 222143, 222547, 223060, 223551, 223992, 224461, 224950, 225430, 225867]","[215958, 216487, 216940, 217442, 217929, 218389, 218843, 219339, 219810, 220283, 220773, 221270, 221741, 222220, 222658, 223163, 223626, 224079, 224567, 225043, 225524, 225960]","[214877, 215375, 215875, 216375, 216876, 217375, 217875, 218376, 218763, 219287, 219743, 220220, 220690, 221189, 221678, 222170, 222574, 223087, 223579, 224020, 224488, 224976, 225457, 225894]",21,R,ITM,1.1,
3,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[232457, 232923, 233408, 233863, 234428, 234848, 235347, 235834, 236299, 236785, 237280, 237804, 238253, 238724, 239221, 239656, 240154, 240618, 241128, 241601, 242070, 242570]","[232546, 233063, 233526, 234006, 234458, 234949, 235467, 235933, 236395, 236888, 237372, 237878, 238346, 238816, 239296, 239756, 240236, 240650, 241209, 241675, 242140, 242598]","[231449, 231948, 232449, 232948, 233448, 233949, 234449, 234949, 235373, 235859, 236324, 236811, 237305, 237830, 238278, 238749, 239247, 239682, 240180, 240644, 241154, 241627, 242096, 242595]",21,R,ITM,1.1,
4,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[248523, 249036, 249513, 250045, 250529, 251008, 251548, 252015, 252516, 253008, 253486, 254003, 254491, 254974, 255482, 255965, 256444, 256925, 257451, 257934, 258418, 258906, 259391]","[248625, 249128, 249620, 250073, 250607, 251105, 251580, 252123, 252604, 253044, 253587, 254108, 254581, 255003, 255512, 256037, 256517, 256991, 257479, 258020, 258508, 259004, 259479]","[248121, 248621, 249120, 249620, 250120, 250620, 251120, 251620, 252041, 252541, 253035, 253511, 254028, 254517, 255000, 255509, 255990, 256470, 256951, 257476, 257959, 258444, 258931, 259417]",21,R,ITM,1.1,
4,600,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[308193, 308857, 309417, 310063, 310644, 311319, 311924, 312582, 313183, 313781, 314335, 314933, 315043, 315516, 316090, 316657, 317216, 317744, 318321, 318943, 319480, 320027, 320576, 321129]","[308282, 308934, 309530, 310165, 310771, 311404, 312012, 312660, 313280, 313881, 314360, 314963, 315064, 315621, 316216, 316751, 317286, 317827, 318413, 319016, 319588, 320110, 320662, 321218]","[307766, 308365, 308965, 309565, 310165, 310765, 311365, 311965, 312607, 313208, 313806, 314360, 314958, 315542, 316115, 316684, 317243, 317769, 318347, 318968, 319506, 320053, 320603, 321156]",21,R,ITM,1.1,
3,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[327455, 328110, 328759, 329298, 329916, 330477, 331116, 331742, 332305, 332922, 333479, 334112, 334756, 335285, 335873, 336486, 337065, 337622, 337730, 338265, 338804, 339368, 339894, 340513]","[327541, 328222, 328862, 329449, 330049, 330612, 331207, 331843, 332426, 333043, 333611, 334243, 334853, 335383, 335984, 336607, 337176, 337650, 337750, 338345, 338834, 339495, 340009, 340595]","[326908, 327507, 328108, 328708, 329308, 329907, 330507, 331107, 331767, 332331, 332948, 333505, 334138, 334782, 335310, 335898, 336512, 337091, 337647, 338290, 338830, 339394, 339919, 340539]",21,R,ITM,1.1,
6,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[346787, 347379, 347977, 348536, 349176, 349798, 350405, 351055, 351662, 352262, 352867, 353469, 354084, 354649, 355264, 355849, 356445, 357052, 357618, 358217, 358781, 359349, 359940]","[346929, 347591, 348198, 348794, 349443, 350087, 350714, 351336, 351975, 352561, 353154, 353784, 354329, 354956, 355523, 356109, 356727, 357340, 357919, 358454, 358962, 359613, 360194]","[346262, 346861, 347461, 348061, 348661, 349261, 349861, 350461, 351082, 351689, 352288, 352893, 353496, 354111, 354675, 355291, 355875, 356472, 357079, 357645, 358244, 358808, 359376, 359967]",21,R,ITM,1.1,
