octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[30385, 30887, 31394, 31939, 32481, 33018, 33536, 33993, 34514, 35009, 35526, 36066, 36575, 37111, 37629, 38092, 38610, 39109, 39630, 40140, 40663, 41185, 41722, 42247, 42752, 43246, 43810, 44324, 44818, 45377]","[30475, 30988, 31473, 32024, 32551, 33073, 33623, 34110, 34607, 35119, 35638, 36165, 36680, 37203, 37738, 38192, 38711, 39213, 39728, 40240, 40777, 41309, 41826, 42327, 42835, 43334, 43911, 44416, 44903, 45447]",,38,R,ITM,1.1,
6,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[96261, 97176, 97711, 98244, 98740, 99240, 99740, 100262, 100750, 101213, 101683, 102180, 102639, 103099, 103593, 104070, 104565, 105040, 105500, 105986, 106474, 106910, 107373]","[96376, 97263, 97814, 98355, 98841, 99351, 99847, 100363, 100865, 101323, 101780, 102279, 102749, 103206, 103703, 104183, 104669, 105153, 105598, 106067, 106560, 107011, 107474]","[96241, 96740, 97241, 97740, 98240, 98740, 99240, 99740, 100289, 100776, 101239, 101709, 102207, 102667, 103126, 103621, 104096, 104592, 105067, 105527, 106012, 106501, 106937, 107400]",38,R,ITM,1.1,
5,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[113198, 113689, 114227, 114733, 115213, 115753, 116233, 116746, 117236, 117737, 118185, 118663, 119171, 119660, 120128, 120612, 121133, 121648, 122129, 122592, 123100, 123639, 124155]","[113273, 113781, 114312, 114816, 115308, 115842, 116335, 116828, 117323, 117819, 118296, 118752, 119254, 119742, 120217, 120700, 121216, 121728, 122234, 122692, 123186, 123704, 124247]","[112798, 113298, 113799, 114299, 114799, 115299, 115800, 116299, 116771, 117262, 117763, 118210, 118688, 119197, 119687, 120154, 120638, 121159, 121673, 122156, 122618, 123126, 123665, 124182]",38,R,ITM,1.1,
7,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[130078, 130368, 130793, 131306, 131816, 132329, 132824, 133330, 133817, 134311, 134786, 135261, 135726, 136197, 136676, 137167, 137632, 138105, 138588, 139053, 139527, 140005, 140516, 140964]","[130151, 130460, 130903, 131393, 131907, 132430, 132907, 133408, 133895, 134397, 134892, 135342, 135797, 136271, 136751, 137247, 137717, 138185, 138671, 139128, 139603, 140094, 140592, 141067]","[129894, 130394, 130893, 131393, 131893, 132393, 132893, 133393, 133844, 134339, 134813, 135288, 135752, 136223, 136702, 137195, 137660, 138133, 138615, 139079, 139553, 140032, 140542, 140992]",38,R,ITM,1.1,
3,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[146922, 147403, 147921, 148454, 148962, 149482, 149960, 150436, 150880, 151371, 151854, 152364, 152816, 153289, 153808, 154301, 154771, 155237, 155710, 156206, 156708, 157204, 157684]","[147003, 147492, 148003, 148534, 149045, 149558, 150025, 150506, 150974, 151459, 151948, 152431, 152919, 153390, 153893, 154386, 154858, 155346, 155809, 156291, 156790, 157291, 157769]","[146504, 147003, 147504, 148003, 148503, 149003, 149504, 150003, 150462, 150905, 151397, 151879, 152389, 152842, 153315, 153834, 154327, 154797, 155262, 155736, 156231, 156734, 157230, 157710]",38,R,ITM,1.1,
4,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[163432, 163970, 164493, 164998, 165500, 166001, 166499, 167015, 167506, 168005, 168499, 169007, 169484, 169980, 170469, 170951, 171429, 171933, 172418, 172923, 173420, 173885, 174351]","[163522, 164051, 164576, 165085, 165586, 166113, 166587, 167103, 167589, 168081, 168591, 169091, 169586, 170089, 170565, 171040, 171517, 172007, 172508, 173014, 173530, 173981, 174459]","[163050, 163549, 164049, 164549, 165049, 165550, 166049, 166549, 167041, 167532, 168031, 168524, 169032, 169509, 170006, 170494, 170977, 171455, 171959, 172444, 172950, 173446, 173911, 174376]",38,R,ITM,1.1,
2,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[180195, 180409, 180867, 181395, 181903, 182416, 182902, 183405, 183903, 184389, 184892, 185366, 185862, 186362, 186863, 187361, 187869, 188360, 188827, 189296, 189814, 190278, 190836, 191300]","[180243, 180494, 180957, 181487, 182001, 182501, 182993, 183487, 183983, 184477, 184984, 185482, 185962, 186455, 186969, 187470, 187969, 188467, 188942, 189425, 189933, 190406, 190957, 191450]","[179952, 180452, 180953, 181452, 181952, 182452, 182952, 183451, 183929, 184416, 184919, 185393, 185889, 186389, 186890, 187387, 187896, 188388, 188854, 189324, 189842, 190306, 190863, 191327]",38,R,ITM,1.1,
4,400,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[225161, 225583, 225983, 226353, 226714, 227112, 227504, 227899, 228283, 228676, 229070, 229441, 229826, 230187, 230578, 230948, 231319, 231680, 232073, 232444, 232839, 233249, 233631]","[225256, 225695, 226113, 226447, 226838, 227227, 227615, 228015, 228400, 228789, 229178, 229539, 229923, 230283, 230671, 231053, 231413, 231777, 232155, 232562, 232930, 233369, 233725]","[224761, 225161, 225561, 225961, 226361, 226761, 227162, 227561, 227924, 228308, 228702, 229096, 229467, 229852, 230212, 230603, 230974, 231345, 231706, 232098, 232470, 232864, 233275, 233657]",38,R,ITM,1.1,
7,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[239283, 240075, 240708, 241312, 241908, 242523, 243145, 243769, 244377, 244935, 245520, 246138, 246707, 247371, 247953, 248501, 249095, 249679, 250281, 250887, 251492, 252087, 252689]","[239379, 240195, 240835, 241428, 242022, 242638, 243233, 243838, 244482, 245068, 245646, 246257, 246819, 247476, 248080, 248625, 249221, 249806, 250394, 251001, 251594, 252217, 252802]","[238976, 239575, 240175, 240775, 241374, 241974, 242574, 243174, 243795, 244405, 244963, 245548, 246165, 246734, 247398, 247980, 248527, 249121, 249706, 250308, 250913, 251520, 252114, 252716]",38,R,ITM,1.1,
5,400,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[258547, 258948, 259361, 259764, 260175, 260589, 260980, 261417, 261791, 262191, 262577, 262975, 263364, 263733, 264130, 264491, 264901, 265284, 265679, 266043, 266432, 266813, 267185]","[258638, 259064, 259482, 259889, 260295, 260704, 261082, 261508, 261892, 262289, 262700, 263079, 263455, 263870, 264231, 264622, 265023, 265415, 265802, 266156, 266543, 266936, 267302]","[258275, 258674, 259075, 259474, 259874, 260274, 260674, 261074, 261443, 261818, 262217, 262602, 263001, 263390, 263758, 264157, 264516, 264927, 265310, 265705, 266068, 266459, 266840, 267210]",38,R,ITM,1.1,
