octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,event,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version,
,,SPR,0,-1,-1,0,SPR,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[50298, 50886, 51480, 52219, 52822, 53433, 54032, 54761, 55498, 56176, 56862, 57590, 58279, 58906, 59592, 60412, 61283, 62042, 62823, 63643, 64540, 65376, 66049, 66855, 67659, 68441, 69195, 69919, 70712, 71512]","[50418, 50999, 51622, 52327, 52955, 53558, 54165, 54904, 55613, 56304, 56989, 57690, 58407, 59057, 59738, 60530, 61417, 62215, 63026, 63886, 64709, 65551, 66241, 67047, 67795, 68588, 69325, 70106, 70856, 71662]",,15,R,ITM,1.1,
6,500,practice,0,0,0,0,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[158371, 158824, 159356, 159859, 160367, 160888, 161376, 161851, 162314, 162838, 163321, 163775, 164296, 164796, 165281, 165833, 166331, 166832, 167375, 167868, 168353, 168866, 169378]","[158480, 158941, 159464, 159972, 160499, 161000, 161488, 161955, 162422, 162964, 163437, 163909, 164441, 164917, 165417, 165963, 166449, 166949, 167490, 167970, 168466, 168982, 169488]","[157933, 158433, 158934, 159433, 159933, 160434, 160933, 161433, 161878, 162340, 162865, 163349, 163802, 164324, 164823, 165308, 165860, 166358, 166858, 167402, 167895, 168381, 168893, 169406]",15,R,ITM,1.1,
2,500,practice,0,1,1,1,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[175435, 175823, 176241, 176752, 177253, 177725, 178213, 178708, 179208, 179755, 180201, 180701, 181176, 181722, 182192, 182699, 183215, 183682, 184219, 184714, 185189, 185711, 186171]","[175484, 175902, 176326, 176850, 177350, 177821, 178306, 178800, 179323, 179826, 180300, 180787, 181289, 181813, 182296, 182811, 183289, 183777, 184305, 184813, 185298, 185790, 186269]","[174726, 175225, 175725, 176225, 176726, 177224, 177725, 178226, 178735, 179235, 179781, 180228, 180728, 181203, 181749, 182218, 182725, 183242, 183708, 184246, 184741, 185217, 185738, 186198]",15,R,ITM,1.1,
4,500,practice,0,2,2,2,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[192102, 192564, 193087, 193613, 194113, 194589, 195066, 195565, 196114, 196572, 197089, 197567, 198069, 198548, 199040, 199538, 200005, 200538, 201022, 201493, 201984, 202502, 202969]","[192183, 192652, 193161, 193708, 194207, 194670, 195172, 195674, 196195, 196689, 197189, 197691, 198172, 198665, 199159, 199638, 200122, 200631, 201125, 201593, 202085, 202604, 203073]","[191626, 192125, 192625, 193125, 193626, 194125, 194625, 195125, 195591, 196140, 196598, 197115, 197593, 198094, 198574, 199065, 199564, 200031, 200563, 201048, 201519, 202009, 202527, 202994]",15,R,ITM,1.1,
5,500,practice,0,3,3,3,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[208635, 209017, 209399, 209833, 210347, 210861, 211371, 211840, 212314, 212814, 213289, 213815, 214319, 214816, 215303, 215790, 216284, 216737, 217268, 217749, 218259, 218758, 219257, 219759]","[208716, 209098, 209494, 209944, 210444, 210970, 211462, 211944, 212434, 212896, 213409, 213922, 214439, 214944, 215428, 215907, 216398, 216868, 217366, 217866, 218379, 218859, 219352, 219850]","[208400, 208900, 209399, 209899, 210399, 210899, 211399, 211899, 212340, 212840, 213315, 213840, 214345, 214842, 215329, 215816, 216310, 216763, 217293, 217775, 218285, 218783, 219283, 219785]",15,R,ITM,1.1,
7,500,practice,0,4,4,4,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[225767, 226051, 226492, 226984, 227499, 227984, 228487, 229007, 229479, 229968, 230495, 230976, 231472, 231989, 232459, 232966, 233461, 233978, 234480, 234954, 235466, 235938, 236500, 236997]","[225853, 226140, 226607, 227088, 227609, 228089, 228603, 229111, 229582, 230100, 230604, 231083, 231592, 232091, 232576, 233081, 233572, 234076, 234579, 235081, 235579, 236083, 236605, 237107]","[225485, 225984, 226484, 226984, 227484, 227984, 228485, 228984, 229506, 229995, 230521, 231003, 231498, 232016, 232486, 232993, 233488, 234005, 234507, 234981, 235493, 235965, 236528, 237024]",15,R,ITM,1.1,
3,500,practice,0,5,5,5,practice,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[242775, 243338, 243834, 244374, 244838, 245368, 245873, 246358, 246848, 247336, 247844, 248313, 248802, 249311, 249755, 250294, 250799, 251260, 251758, 252294, 252744, 253251, 253732]","[242857, 243437, 243946, 244485, 244959, 245471, 245974, 246497, 246949, 247468, 247957, 248441, 248929, 249415, 249904, 250401, 250908, 251377, 251878, 252387, 252850, 253353, 253841]","[242439, 242937, 243437, 243937, 244438, 244937, 245437, 245938, 246383, 246874, 247362, 247870, 248339, 248827, 249336, 249781, 250319, 250824, 251286, 251784, 252319, 252770, 253277, 253758]",15,R,ITM,1.1,
7,400,trial,0,6,6,6,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[317604, 318061, 318486, 318846, 319245, 319678, 320044, 320466, 320832, 321241, 321611, 321984, 322370, 322761, 323118, 323514, 323891, 324260, 324667, 325027, 325406, 325786, 326185]","[317684, 318141, 318554, 318928, 319320, 319749, 320129, 320540, 320915, 321309, 321698, 322067, 322450, 322841, 323207, 323592, 323969, 324346, 324730, 325104, 325470, 325846, 326245]","[317300, 317700, 318099, 318499, 318899, 319299, 319699, 320099, 320493, 320859, 321268, 321639, 322011, 322398, 322788, 323145, 323540, 323917, 324287, 324694, 325055, 325433, 325813, 326213]",15,R,ITM,1.1,
6,600,trial,0,7,7,7,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[332027, 332456, 332865, 333503, 334124, 334685, 335293, 335884, 336480, 337139, 337770, 338407, 339050, 339650, 340280, 340914, 341530, 342087, 342723, 343317, 343924, 344569, 345214, 345809]","[332102, 332554, 333077, 333623, 334216, 334799, 335390, 335904, 336589, 337236, 337867, 338501, 339154, 339753, 340393, 341020, 341646, 342220, 342837, 343434, 344051, 344687, 345317, 345914]","[331685, 332284, 332884, 333485, 334085, 334685, 335284, 335884, 336506, 337166, 337797, 338434, 339077, 339678, 340307, 340940, 341558, 342115, 342751, 343344, 343951, 344596, 345241, 345836]",15,R,ITM,1.1,
3,600,trial,0,8,8,8,trial,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[351971, 352410, 352792, 353378, 353931, 354580, 355140, 355748, 356348, 356966, 357504, 358057, 358595, 359138, 359712, 360311, 360840, 361419, 361951, 362482, 363051, 363618, 364187, 364741]","[352055, 352485, 352900, 353461, 354028, 354676, 355254, 355865, 356453, 357063, 357638, 358173, 358716, 359256, 359825, 360415, 360953, 361527, 362056, 362597, 363167, 363721, 364295, 364856]","[351579, 352178, 352778, 353378, 353978, 354578, 355178, 355778, 356374, 356992, 357529, 358083, 358621, 359163, 359738, 360337, 360865, 361445, 361976, 362508, 363076, 363643, 364213, 364767]",15,R,ITM,1.1,
